split,model,Stage_group,Cell_type,n_cells,mean_prob,prop_gt_0.5,prop_gt_0.9
test,Deterministic EM-MMIL,Advanced,Oligodendrocytes,6,0.8897686094091498,1.0,0.5
test,Deterministic EM-MMIL,Advanced,Epithelial cells,278,0.298395735844301,0.15827338129496402,0.014388489208633094
test,Deterministic EM-MMIL,Advanced,Myeloid cells,114,0.20701537500111303,0.07017543859649122,0.0
test,Deterministic EM-MMIL,Advanced,NK cells,44,0.018143786280041787,0.0,0.0
test,Deterministic EM-MMIL,Advanced,B lymphocytes,138,0.014277073674229241,0.0,0.0
test,Deterministic EM-MMIL,Advanced,T lymphocytes,316,0.013973052557495834,0.0,0.0
test,Deterministic EM-MMIL,Advanced,MAST cells,1,0.0128766612479501,0.0,0.0
test,Deterministic EM-MMIL,Advanced,Fibroblasts,4,0.008089103369915276,0.0,0.0
test,Deterministic EM-MMIL,Early,Myeloid cells,193,0.07049549884338324,0.0051813471502590676,0.0
test,Deterministic EM-MMIL,Early,Epithelial cells,43,0.020652116736329884,0.0,0.0
test,Deterministic EM-MMIL,Early,MAST cells,35,0.013071246162060469,0.0,0.0
test,Deterministic EM-MMIL,Early,B lymphocytes,53,0.00989453840199091,0.0,0.0
test,Deterministic EM-MMIL,Early,Undetermined,2,0.00917857170539705,0.0,0.0
test,Deterministic EM-MMIL,Early,T lymphocytes,282,0.008399629803139439,0.0,0.0
test,Deterministic EM-MMIL,Early,NK cells,60,0.007256576138879837,0.0,0.0
test,Deterministic EM-MMIL,Early,Endothelial cells,27,0.004812910169245122,0.0,0.0
test,Deterministic EM-MMIL,Early,Fibroblasts,15,0.0010546028536879122,0.0,0.0
test,MCEM-MMIL,Advanced,Oligodendrocytes,6,0.9217696084346086,1.0,0.5
test,MCEM-MMIL,Advanced,Epithelial cells,278,0.31547019072011717,0.17266187050359713,0.014388489208633094
test,MCEM-MMIL,Advanced,Myeloid cells,114,0.19810499347173488,0.06140350877192982,0.0
test,MCEM-MMIL,Advanced,NK cells,44,0.019522075766099142,0.0,0.0
test,MCEM-MMIL,Advanced,MAST cells,1,0.0143345351377302,0.0,0.0
test,MCEM-MMIL,Advanced,B lymphocytes,138,0.01390787748610064,0.0,0.0
test,MCEM-MMIL,Advanced,T lymphocytes,316,0.013796125278558459,0.0,0.0
test,MCEM-MMIL,Advanced,Fibroblasts,4,0.009535823888042924,0.0,0.0
test,MCEM-MMIL,Early,Myeloid cells,193,0.06709661708393132,0.0,0.0
test,MCEM-MMIL,Early,Epithelial cells,43,0.023158961806290942,0.0,0.0
test,MCEM-MMIL,Early,MAST cells,35,0.014592542681232785,0.0,0.0
test,MCEM-MMIL,Early,B lymphocytes,53,0.009673816083855728,0.0,0.0
