split,model,Stage_group,Cell_type,n_cells,mean_prob,prop_gt_0.5,prop_gt_0.9
test,Deterministic EM-MMIL,Advanced,Oligodendrocytes,6,0.8625403676096767,0.8333333333333334,0.8333333333333334
test,Deterministic EM-MMIL,Advanced,Myeloid cells,114,0.15765371351422616,0.14912280701754385,0.07894736842105263
test,Deterministic EM-MMIL,Advanced,Epithelial cells,278,0.0923256673039555,0.07913669064748201,0.03597122302158273
test,Deterministic EM-MMIL,Advanced,Fibroblasts,4,0.07772379758723706,0.0,0.0
test,Deterministic EM-MMIL,Advanced,T lymphocytes,316,0.02779189714447959,0.015822784810126583,0.00949367088607595
test,Deterministic EM-MMIL,Advanced,NK cells,44,0.02346424373287116,0.022727272727272728,0.0
test,Deterministic EM-MMIL,Advanced,B lymphocytes,138,0.0024327064472517987,0.0,0.0
test,Deterministic EM-MMIL,Advanced,MAST cells,1,4.687407499627791e-05,0.0,0.0
test,Deterministic EM-MMIL,Early,T lymphocytes,282,0.001950169553652733,0.0,0.0
test,Deterministic EM-MMIL,Early,Epithelial cells,43,0.0009442255550154907,0.0,0.0
test,Deterministic EM-MMIL,Early,Myeloid cells,193,0.0008910044202324898,0.0,0.0
test,Deterministic EM-MMIL,Early,B lymphocytes,53,0.0005688963845466106,0.0,0.0
test,Deterministic EM-MMIL,Early,NK cells,60,0.000542024607522184,0.0,0.0
test,Deterministic EM-MMIL,Early,MAST cells,35,0.00039508457862068595,0.0,0.0
test,Deterministic EM-MMIL,Early,Endothelial cells,27,7.286509207959464e-05,0.0,0.0
test,Deterministic EM-MMIL,Early,Fibroblasts,15,2.8741650605983774e-06,0.0,0.0
test,Deterministic EM-MMIL,Early,Undetermined,2,1.3668287873928614e-06,0.0,0.0
test,MCEM-MMIL,Advanced,Oligodendrocytes,6,0.8615710099426382,0.8333333333333334,0.8333333333333334
test,MCEM-MMIL,Advanced,Fibroblasts,4,0.2067987971842886,0.25,0.0
test,MCEM-MMIL,Advanced,Myeloid cells,114,0.16764354711562152,0.16666666666666666,0.10526315789473684
test,MCEM-MMIL,Advanced,Epithelial cells,278,0.10869120790818756,0.08633093525179857,0.039568345323741004
test,MCEM-MMIL,Advanced,T lymphocytes,316,0.02572462325218427,0.012658227848101266,0.00949367088607595
test,MCEM-MMIL,Advanced,NK cells,44,0.022370402422102715,0.022727272727272728,0.0
test,MCEM-MMIL,Advanced,B lymphocytes,138,0.0016336347525258436,0.0,0.0
test,MCEM-MMIL,Advanced,MAST cells,1,9.661572400267796e-05,0.0,0.0
test,MCEM-MMIL,Early,T lymphocytes,282,0.0020983970441706182,0.0,0.0
test,MCEM-MMIL,Early,Epithelial cells,43,0.0019119315959982822,0.0,0.0
test,MCEM-MMIL,Early,MAST cells,35,0.0010091092489373401,0.0,0.0
test,MCEM-MMIL,Early,Myeloid cells,193,0.0009623588893250695,0.0,0.0
test,MCEM-MMIL,Early,B lymphocytes,53,0.000534785445672553,0.0,0.0
test,MCEM-MMIL,Early,NK cells,60,0.00047253634989431303,0.0,0.0
test,MCEM-MMIL,Early,Endothelial cells,27,2.326744781541554e-05,0.0,0.0
test,MCEM-MMIL,Early,Undetermined,2,1.4398033615267126e-06,0.0,0.0
test,MCEM-MMIL,Early,Fibroblasts,15,1.338540323859199e-06,0.0,0.0
test,Naive inherited-label classifier,Advanced,Oligodendrocytes,6,0.9968145207401721,1.0,1.0
test,Naive inherited-label classifier,Advanced,Epithelial cells,278,0.8871467138332078,0.9892086330935251,0.6187050359712231
test,Naive inherited-label classifier,Advanced,Myeloid cells,114,0.8112612253793763,0.9298245614035088,0.38596491228070173
test,Naive inherited-label classifier,Advanced,Fibroblasts,4,0.7197359990891313,0.75,0.5
test,Naive inherited-label classifier,Advanced,B lymphocytes,138,0.6941975877173526,0.8260869565217391,0.14492753623188406
test,Naive inherited-label classifier,Advanced,NK cells,44,0.6872436178502522,0.8409090909090909,0.06818181818181818
test,Naive inherited-label classifier,Advanced,T lymphocytes,316,0.6411706178064551,0.7278481012658228,0.12341772151898735
test,Naive inherited-label classifier,Advanced,MAST cells,1,0.6102990348788149,1.0,0.0
test,Naive inherited-label classifier,Early,Endothelial cells,27,0.6210734645732566,0.7407407407407407,0.07407407407407407
test,Naive inherited-label classifier,Early,MAST cells,35,0.5700442013301156,0.6857142857142857,0.02857142857142857
test,Naive inherited-label classifier,Early,NK cells,60,0.5385557043784179,0.55,0.016666666666666666
test,Naive inherited-label classifier,Early,Epithelial cells,43,0.48548160229947973,0.46511627906976744,0.06976744186046512
test,Naive inherited-label classifier,Early,Fibroblasts,15,0.44268338959062964,0.4666666666666667,0.0
test,Naive inherited-label classifier,Early,B lymphocytes,53,0.4157350818519839,0.33962264150943394,0.0
test,Naive inherited-label classifier,Early,T lymphocytes,282,0.39877495530616835,0.35815602836879434,0.028368794326241134
test,Naive inherited-label classifier,Early,Myeloid cells,193,0.36647342349882556,0.3160621761658031,0.0051813471502590676
test,Naive inherited-label classifier,Early,Undetermined,2,0.20324342434625786,0.0,0.0
train,Deterministic EM-MMIL,Advanced,Oligodendrocytes,15,0.6416355365392377,0.6666666666666666,0.5333333333333333
train,Deterministic EM-MMIL,Advanced,Epithelial cells,1048,0.5902559508027582,0.5973282442748091,0.42938931297709926
train,Deterministic EM-MMIL,Advanced,Undetermined,17,0.27949218749298665,0.23529411764705882,0.058823529411764705
train,Deterministic EM-MMIL,Advanced,Myeloid cells,714,0.26058214656964984,0.2549019607843137,0.14985994397759103
train,Deterministic EM-MMIL,Advanced,NK cells,170,0.22680263516185256,0.21176470588235294,0.12941176470588237
train,Deterministic EM-MMIL,Advanced,Fibroblasts,60,0.16855612397765582,0.15,0.08333333333333333
train,Deterministic EM-MMIL,Advanced,T lymphocytes,1069,0.15592549348664791,0.15060804490177737,0.08886810102899906
train,Deterministic EM-MMIL,Advanced,B lymphocytes,397,0.039724247230847734,0.0327455919395466,0.012594458438287154
train,Deterministic EM-MMIL,Advanced,MAST cells,26,0.02490334203989393,0.0,0.0
train,Deterministic EM-MMIL,Advanced,Endothelial cells,3,1.0000000000000002e-08,0.0,0.0
train,Deterministic EM-MMIL,Early,NK cells,84,0.005625182100463798,0.0,0.0
train,Deterministic EM-MMIL,Early,Myeloid cells,303,0.005119764955088186,0.0033003300330033004,0.0
