split,model,Stage_group,Cell_type,n_cells,mean_prob,prop_gt_0.5,prop_gt_0.9
test,Deterministic EM-MMIL,Advanced,Epithelial cells,278,0.4375600485439352,0.42805755395683454,0.01079136690647482
test,Deterministic EM-MMIL,Advanced,Oligodendrocytes,6,0.10570140990118178,0.0,0.0
test,Deterministic EM-MMIL,Advanced,Myeloid cells,114,0.1010007059503869,0.017543859649122806,0.0
test,Deterministic EM-MMIL,Advanced,Fibroblasts,4,0.0581973288208246,0.0,0.0
test,Deterministic EM-MMIL,Advanced,NK cells,44,0.0216901432299478,0.0,0.0
test,Deterministic EM-MMIL,Advanced,B lymphocytes,138,0.012689302796902816,0.0,0.0
test,Deterministic EM-MMIL,Advanced,MAST cells,1,0.0099088456481695,0.0,0.0
test,Deterministic EM-MMIL,Advanced,T lymphocytes,316,0.009273945135830651,0.0,0.0
test,Deterministic EM-MMIL,Early,Epithelial cells,43,0.1426967199198728,0.046511627906976744,0.0
test,Deterministic EM-MMIL,Early,Fibroblasts,15,0.07004438402752076,0.0,0.0
test,Deterministic EM-MMIL,Early,Myeloid cells,193,0.042487416686634895,0.0,0.0
test,Deterministic EM-MMIL,Early,Endothelial cells,27,0.031176181786038207,0.0,0.0
test,Deterministic EM-MMIL,Early,MAST cells,35,0.015216872814510502,0.0,0.0
test,Deterministic EM-MMIL,Early,Undetermined,2,0.012268971186131149,0.0,0.0
test,Deterministic EM-MMIL,Early,NK cells,60,0.010182475671172104,0.0,0.0
test,Deterministic EM-MMIL,Early,B lymphocytes,53,0.008713573683053196,0.0,0.0
test,Deterministic EM-MMIL,Early,T lymphocytes,282,0.007988732161185261,0.0,0.0
test,MCEM-MMIL,Advanced,Epithelial cells,278,0.474568063631091,0.539568345323741,0.02158273381294964
test,MCEM-MMIL,Advanced,Oligodendrocytes,6,0.15587927463153997,0.16666666666666666,0.0
test,MCEM-MMIL,Advanced,Myeloid cells,114,0.09963977544797221,0.02631578947368421,0.0
test,MCEM-MMIL,Advanced,Fibroblasts,4,0.06488617928698656,0.0,0.0
test,MCEM-MMIL,Advanced,NK cells,44,0.023212020560591018,0.0,0.0
test,MCEM-MMIL,Advanced,B lymphocytes,138,0.013407695539079665,0.0,0.0
test,MCEM-MMIL,Advanced,MAST cells,1,0.0097728641703724,0.0,0.0
test,MCEM-MMIL,Advanced,T lymphocytes,316,0.009456541664792251,0.0,0.0
test,MCEM-MMIL,Early,Epithelial cells,43,0.12509116658204514,0.046511627906976744,0.0
test,MCEM-MMIL,Early,Fibroblasts,15,0.07953497978548207,0.0,0.0
test,MCEM-MMIL,Early,Myeloid cells,193,0.04037538378069975,0.0,0.0
test,MCEM-MMIL,Early,Endothelial cells,27,0.027823455217811748,0.0,0.0
test,MCEM-MMIL,Early,MAST cells,35,0.013348561339080288,0.0,0.0
test,MCEM-MMIL,Early,NK cells,60,0.008979947096668136,0.0,0.0
test,MCEM-MMIL,Early,B lymphocytes,53,0.008252423810157523,0.0,0.0
test,MCEM-MMIL,Early,Undetermined,2,0.007805446628481099,0.0,0.0
test,MCEM-MMIL,Early,T lymphocytes,282,0.0074906153786028756,0.0,0.0
test,Naive inherited-label classifier,Advanced,Oligodendrocytes,6,0.8072208563486735,1.0,0.0
test,Naive inherited-label classifier,Advanced,Epithelial cells,278,0.798315696364684,0.9712230215827338,0.12949640287769784
test,Naive inherited-label classifier,Advanced,Myeloid cells,114,0.7681639312129271,0.9298245614035088,0.12280701754385964
test,Naive inherited-label classifier,Advanced,Fibroblasts,4,0.7504472881555557,0.75,0.0
test,Naive inherited-label classifier,Advanced,B lymphocytes,138,0.6827812910727833,0.9130434782608695,0.007246376811594203
