split,model,aggregation,n_patients,n_early,n_advanced,auroc
test,Deterministic EM-MMIL,q99_prob,11,5,6,1.0
test,Deterministic EM-MMIL,prop_gt_0.5,11,5,6,0.9333333333333333
test,Deterministic EM-MMIL,mean_prob,11,5,6,0.9
test,Deterministic EM-MMIL,q90_prob,11,5,6,0.9
test,Deterministic EM-MMIL,median_prob,11,5,6,0.8
test,Deterministic EM-MMIL,prop_gt_0.9,11,5,6,0.75
test,MCEM-MMIL,q99_prob,11,5,6,1.0
test,MCEM-MMIL,prop_gt_0.5,11,5,6,0.9333333333333333
test,MCEM-MMIL,mean_prob,11,5,6,0.9
test,MCEM-MMIL,q90_prob,11,5,6,0.9
test,MCEM-MMIL,prop_gt_0.9,11,5,6,0.8333333333333333
test,MCEM-MMIL,median_prob,11,5,6,0.8
test,Naive inherited-label classifier,mean_prob,11,5,6,1.0
test,Naive inherited-label classifier,median_prob,11,5,6,1.0
test,Naive inherited-label classifier,prop_gt_0.5,11,5,6,1.0
test,Naive inherited-label classifier,prop_gt_0.9,11,5,6,1.0
test,Naive inherited-label classifier,q90_prob,11,5,6,1.0
test,Naive inherited-label classifier,q99_prob,11,5,6,1.0
train,Deterministic EM-MMIL,q99_prob,33,15,18,0.9666666666666668
train,Deterministic EM-MMIL,mean_prob,33,15,18,0.9518518518518518
train,Deterministic EM-MMIL,prop_gt_0.5,33,15,18,0.9500000000000001
train,Deterministic EM-MMIL,q90_prob,33,15,18,0.9259259259259259
train,Deterministic EM-MMIL,median_prob,33,15,18,0.8555555555555555
train,Deterministic EM-MMIL,prop_gt_0.9,33,15,18,0.8333333333333333
train,MCEM-MMIL,q99_prob,33,15,18,0.9703703703703704
train,MCEM-MMIL,mean_prob,33,15,18,0.9592592592592593
train,MCEM-MMIL,prop_gt_0.5,33,15,18,0.9462962962962964
train,MCEM-MMIL,q90_prob,33,15,18,0.9296296296296296
train,MCEM-MMIL,prop_gt_0.9,33,15,18,0.8888888888888888
train,MCEM-MMIL,median_prob,33,15,18,0.8555555555555556
train,Naive inherited-label classifier,mean_prob,33,15,18,1.0
train,Naive inherited-label classifier,median_prob,33,15,18,1.0
train,Naive inherited-label classifier,prop_gt_0.5,33,15,18,1.0
train,Naive inherited-label classifier,prop_gt_0.9,33,15,18,1.0
train,Naive inherited-label classifier,q90_prob,33,15,18,1.0
train,Naive inherited-label classifier,q99_prob,33,15,18,1.0
