split,model,Stage_group,Cell_type,n_cells,mean_prob,prop_gt_0.5,prop_gt_0.9
test,Deterministic EM-MMIL,Advanced,Myeloid cells,114,0.25960069318024215,0.19298245614035087,0.043859649122807015
test,Deterministic EM-MMIL,Advanced,Fibroblasts,4,0.17075587669387454,0.0,0.0
test,Deterministic EM-MMIL,Advanced,NK cells,44,0.15324109094217417,0.09090909090909091,0.0
test,Deterministic EM-MMIL,Advanced,Oligodendrocytes,6,0.12750776112079618,0.0,0.0
test,Deterministic EM-MMIL,Advanced,T lymphocytes,316,0.10582750761009088,0.0759493670886076,0.04430379746835443
test,Deterministic EM-MMIL,Advanced,B lymphocytes,138,0.09980418221971042,0.0,0.0
test,Deterministic EM-MMIL,Advanced,Epithelial cells,278,0.04964064999329417,0.007194244604316547,0.0
test,Deterministic EM-MMIL,Advanced,MAST cells,1,0.0242493487894535,0.0,0.0
test,Deterministic EM-MMIL,Early,Fibroblasts,15,0.22636850712200002,0.2,0.0
test,Deterministic EM-MMIL,Early,Undetermined,2,0.1420738995075225,0.0,0.0
test,Deterministic EM-MMIL,Early,Endothelial cells,27,0.0866631835147186,0.037037037037037035,0.0
test,Deterministic EM-MMIL,Early,Myeloid cells,193,0.08637972812559162,0.03626943005181347,0.010362694300518135
test,Deterministic EM-MMIL,Early,NK cells,60,0.06774577403751508,0.0,0.0
test,Deterministic EM-MMIL,Early,MAST cells,35,0.06321213974484372,0.02857142857142857,0.0
test,Deterministic EM-MMIL,Early,T lymphocytes,282,0.026267059375234672,0.0035460992907801418,0.0035460992907801418
test,Deterministic EM-MMIL,Early,Epithelial cells,43,0.024499850174368773,0.0,0.0
test,Deterministic EM-MMIL,Early,B lymphocytes,53,0.018670112755641573,0.0,0.0
test,MCEM-MMIL,Advanced,Myeloid cells,114,0.2758094739708069,0.16666666666666666,0.017543859649122806
test,MCEM-MMIL,Advanced,Fibroblasts,4,0.1589422980323434,0.0,0.0
test,MCEM-MMIL,Advanced,NK cells,44,0.14054193059829145,0.045454545454545456,0.0
test,MCEM-MMIL,Advanced,Oligodendrocytes,6,0.11101351461062826,0.0,0.0
test,MCEM-MMIL,Advanced,T lymphocytes,316,0.10221274342694421,0.05063291139240506,0.0
test,MCEM-MMIL,Advanced,B lymphocytes,138,0.08539582415740338,0.0,0.0
test,MCEM-MMIL,Advanced,Epithelial cells,278,0.051393282144136083,0.007194244604316547,0.0
test,MCEM-MMIL,Advanced,MAST cells,1,0.0241370815783739,0.0,0.0
test,MCEM-MMIL,Early,Fibroblasts,15,0.2155989451954762,0.2,0.0
test,MCEM-MMIL,Early,Undetermined,2,0.1200335584580898,0.0,0.0
test,MCEM-MMIL,Early,Myeloid cells,193,0.09328398142260896,0.046632124352331605,0.0051813471502590676
test,MCEM-MMIL,Early,Endothelial cells,27,0.07856139813170386,0.037037037037037035,0.0
test,MCEM-MMIL,Early,NK cells,60,0.06358872229854261,0.0,0.0
test,MCEM-MMIL,Early,MAST cells,35,0.06221886700285328,0.02857142857142857,0.0
test,MCEM-MMIL,Early,T lymphocytes,282,0.026027960851392164,0.0035460992907801418,0.0
test,MCEM-MMIL,Early,Epithelial cells,43,0.022204837306987364,0.0,0.0
test,MCEM-MMIL,Early,B lymphocytes,53,0.016793152598558674,0.0,0.0
test,Naive inherited-label classifier,Advanced,MAST cells,1,0.8065428137779236,1.0,0.0
test,Naive inherited-label classifier,Advanced,Oligodendrocytes,6,0.8056846559047699,1.0,0.0
test,Naive inherited-label classifier,Advanced,Fibroblasts,4,0.783745139837265,1.0,0.0
test,Naive inherited-label classifier,Advanced,Epithelial cells,278,0.7449697620577092,0.9964028776978417,0.025179856115107913
test,Naive inherited-label classifier,Advanced,Myeloid cells,114,0.7387196000730782,0.9298245614035088,0.07894736842105263
test,Naive inherited-label classifier,Advanced,NK cells,44,0.7229431108994917,0.9090909090909091,0.022727272727272728
test,Naive inherited-label classifier,Advanced,B lymphocytes,138,0.6699416276769362,0.9202898550724637,0.0
test,Naive inherited-label classifier,Advanced,T lymphocytes,316,0.6545589094203484,0.7974683544303798,0.04746835443037975
test,Naive inherited-label classifier,Early,Undetermined,2,0.7231220006942749,1.0,0.0
test,Naive inherited-label classifier,Early,Endothelial cells,27,0.7068288039278101,1.0,0.0
test,Naive inherited-label classifier,Early,MAST cells,35,0.6441297437463488,0.7714285714285715,0.0
test,Naive inherited-label classifier,Early,Fibroblasts,15,0.6431300977865855,0.7333333333333333,0.0
test,Naive inherited-label classifier,Early,NK cells,60,0.6020047610004743,0.7,0.0
test,Naive inherited-label classifier,Early,Epithelial cells,43,0.4947522733100625,0.3953488372093023,0.023255813953488372
test,Naive inherited-label classifier,Early,B lymphocytes,53,0.4664254177291438,0.32075471698113206,0.0
test,Naive inherited-label classifier,Early,Myeloid cells,193,0.4628589496093711,0.35233160621761656,0.0
test,Naive inherited-label classifier,Early,T lymphocytes,282,0.42059750273718055,0.22695035460992907,0.0
train,Deterministic EM-MMIL,Advanced,Epithelial cells,1048,0.4170164105576598,0.3931297709923664,0.37213740458015265
train,Deterministic EM-MMIL,Advanced,MAST cells,26,0.37041714447192275,0.38461538461538464,0.2692307692307692
train,Deterministic EM-MMIL,Advanced,Myeloid cells,714,0.33076513433928084,0.2801120448179272,0.1792717086834734
train,Deterministic EM-MMIL,Advanced,NK cells,170,0.2611285613849759,0.24705882352941178,0.06470588235294118
train,Deterministic EM-MMIL,Advanced,Fibroblasts,60,0.23663566030251484,0.2,0.08333333333333333
train,Deterministic EM-MMIL,Advanced,Undetermined,17,0.22598513171953313,0.0,0.0
train,Deterministic EM-MMIL,Advanced,T lymphocytes,1069,0.14893240676678787,0.12067352666043031,0.06454630495790459
train,Deterministic EM-MMIL,Advanced,Oligodendrocytes,15,0.11168344368537265,0.0,0.0
train,Deterministic EM-MMIL,Advanced,B lymphocytes,397,0.052913993770627256,0.0,0.0
train,Deterministic EM-MMIL,Advanced,Endothelial cells,3,0.016458194392422767,0.0,0.0
train,Deterministic EM-MMIL,Early,Undetermined,8,0.19668642804026598,0.0,0.0
train,Deterministic EM-MMIL,Early,Fibroblasts,29,0.18582641978844483,0.13793103448275862,0.0
