split,model,Stage_group,Cell_type,n_cells,mean_prob,prop_gt_0.5,prop_gt_0.9
test,Deterministic EM-MMIL,Advanced,Epithelial cells,278,0.28283338363042587,0.2949640287769784,0.09352517985611511
test,Deterministic EM-MMIL,Advanced,Myeloid cells,114,0.23727176639733533,0.21929824561403508,0.06140350877192982
test,Deterministic EM-MMIL,Advanced,B lymphocytes,138,0.007024131541991706,0.0,0.0
test,Deterministic EM-MMIL,Advanced,NK cells,44,0.001605843806044234,0.0,0.0
test,Deterministic EM-MMIL,Advanced,T lymphocytes,316,0.00022899523089267148,0.0,0.0
test,Deterministic EM-MMIL,Advanced,Oligodendrocytes,6,8.122681747347517e-08,0.0,0.0
test,Deterministic EM-MMIL,Advanced,Fibroblasts,4,1e-08,0.0,0.0
test,Deterministic EM-MMIL,Advanced,MAST cells,1,1e-08,0.0,0.0
test,Deterministic EM-MMIL,Early,Myeloid cells,193,0.043105271642222595,0.04145077720207254,0.0
test,Deterministic EM-MMIL,Early,NK cells,60,0.00019798607408565917,0.0,0.0
test,Deterministic EM-MMIL,Early,Epithelial cells,43,0.00012311632435585377,0.0,0.0
test,Deterministic EM-MMIL,Early,T lymphocytes,282,7.183890851147062e-05,0.0,0.0
test,Deterministic EM-MMIL,Early,B lymphocytes,53,2.950903643178339e-07,0.0,0.0
test,Deterministic EM-MMIL,Early,MAST cells,35,1.084315606080589e-08,0.0,0.0
test,Deterministic EM-MMIL,Early,Endothelial cells,27,1.0000000000000002e-08,0.0,0.0
test,Deterministic EM-MMIL,Early,Fibroblasts,15,1.0000000000000002e-08,0.0,0.0
test,Deterministic EM-MMIL,Early,Undetermined,2,1e-08,0.0,0.0
test,MCEM-MMIL,Advanced,Epithelial cells,278,0.2882723721866046,0.29856115107913667,0.10071942446043165
test,MCEM-MMIL,Advanced,Myeloid cells,114,0.2373446593170276,0.21929824561403508,0.06140350877192982
test,MCEM-MMIL,Advanced,B lymphocytes,138,0.00668745099352338,0.0,0.0
test,MCEM-MMIL,Advanced,NK cells,44,0.0016986421058639506,0.0,0.0
test,MCEM-MMIL,Advanced,T lymphocytes,316,0.00013197455447514687,0.0,0.0
test,MCEM-MMIL,Advanced,Oligodendrocytes,6,9.50095110527e-08,0.0,0.0
test,MCEM-MMIL,Advanced,Fibroblasts,4,1e-08,0.0,0.0
test,MCEM-MMIL,Advanced,MAST cells,1,1e-08,0.0,0.0
test,MCEM-MMIL,Early,Myeloid cells,193,0.04269633820419846,0.03626943005181347,0.0
test,MCEM-MMIL,Early,NK cells,60,0.0002108447670084915,0.0,0.0
test,MCEM-MMIL,Early,Epithelial cells,43,0.00014041452164504584,0.0,0.0
