iter,delta,mean_q_advanced,train_logloss_inherited
1,0.045065079301468476,0.3000000000000001,1.09834701938919
2,0.04085195478680733,0.3,1.1119160343490402
3,0.03562289137639122,0.3,1.1702335716510006
4,0.030054462281521307,0.29997692477813276,1.2640063106037254
5,0.02467243315135888,0.29936723105401614,1.3867334374919003
6,0.019980023604281718,0.29827367589223025,1.5356487067708353
7,0.01582606832580735,0.29672863051677756,1.7075289025242486
8,0.011657087748207087,0.29363831651073286,1.9030073619292018
9,0.008268846370010323,0.28975521984069835,2.1285159243440015
10,0.0066345982806666854,0.286298072782476,2.413608481336825
11,0.006493013846172211,0.28349946052876224,2.776016456869777
12,0.005756814288978539,0.2816104275844092,3.1010787803445967
13,0.004877138710099192,0.28043570898460957,3.4144624972594237
14,0.004105621399427728,0.2796472454834048,3.6989700937390806
15,0.0034878967449251644,0.2791194557910877,3.928022265521987
16,0.003010931775409907,0.2787850691706585,4.1101742440281095
17,0.0026334662033251715,0.27857822355595646,4.265325358636458
18,0.00233982932721855,0.2784457364445125,4.401950699714469
19,0.00211680859753007,0.2783721756446309,4.523689993775117
20,0.0019440129864941457,0.27833348091937354,4.633342836085136
21,0.0017991221495288038,0.2783079396182941,4.732494660648023
22,0.0016662748724594195,0.2782822984667548,4.822541714099336
23,0.0015465419674055303,0.2782532405334221,4.905381716372006
24,0.0014411669056897513,0.2782226234435971,4.981309215369727
25,0.0013436913898592394,0.2781785192686191,5.051149571629109
26,0.0012473242933635645,0.2781175548367108,5.115794471692864
27,0.001157009850584931,0.2780366083395075,5.175701609208136
28,0.0010806023385697154,0.27794362845954235,5.229774373295318
29,0.0010144903734026264,0.2778443491485487,5.279044940583984
30,0.0009593794154504963,0.2777390954096926,5.324147332449538
