split,model,Stage_group,Cell_type,n_cells,mean_prob,prop_gt_0.5,prop_gt_0.9
test,Deterministic EM-MMIL,Advanced,Epithelial cells,278,0.7673689376951444,0.7913669064748201,0.6438848920863309
test,Deterministic EM-MMIL,Advanced,Fibroblasts,4,0.5361936986446381,0.5,0.25
test,Deterministic EM-MMIL,Advanced,Oligodendrocytes,6,0.39438243086139363,0.3333333333333333,0.3333333333333333
test,Deterministic EM-MMIL,Advanced,Myeloid cells,114,0.24076916183867866,0.21929824561403508,0.03508771929824561
test,Deterministic EM-MMIL,Advanced,B lymphocytes,138,0.17176784543941417,0.15942028985507245,0.028985507246376812
test,Deterministic EM-MMIL,Advanced,NK cells,44,0.10012430968609719,0.09090909090909091,0.0
test,Deterministic EM-MMIL,Advanced,T lymphocytes,316,0.06149530442596609,0.0031645569620253164,0.0
test,Deterministic EM-MMIL,Advanced,MAST cells,1,0.0059889815747737,0.0,0.0
test,Deterministic EM-MMIL,Early,Epithelial cells,43,0.3995147797733892,0.4418604651162791,0.046511627906976744
test,Deterministic EM-MMIL,Early,Fibroblasts,15,0.15400830457607906,0.13333333333333333,0.06666666666666667
test,Deterministic EM-MMIL,Early,Myeloid cells,193,0.13608549090604166,0.09326424870466321,0.0051813471502590676
test,Deterministic EM-MMIL,Early,B lymphocytes,53,0.09295521984052542,0.09433962264150944,0.0
test,Deterministic EM-MMIL,Early,Endothelial cells,27,0.0893656384820739,0.037037037037037035,0.0
test,Deterministic EM-MMIL,Early,NK cells,60,0.06425125859677787,0.05,0.0
test,Deterministic EM-MMIL,Early,T lymphocytes,282,0.024099608202933793,0.0,0.0
test,Deterministic EM-MMIL,Early,MAST cells,35,0.016111677791923237,0.0,0.0
test,Deterministic EM-MMIL,Early,Undetermined,2,0.0118011003360152,0.0,0.0
test,MCEM-MMIL,Advanced,Epithelial cells,278,0.7883653802287985,0.8057553956834532,0.6906474820143885
test,MCEM-MMIL,Advanced,Fibroblasts,4,0.5165725592523813,0.5,0.25
test,MCEM-MMIL,Advanced,Oligodendrocytes,6,0.3730421617316702,0.3333333333333333,0.3333333333333333
test,MCEM-MMIL,Advanced,Myeloid cells,114,0.2418055849215179,0.21929824561403508,0.03508771929824561
test,MCEM-MMIL,Advanced,B lymphocytes,138,0.16745412580169516,0.15942028985507245,0.021739130434782608
test,MCEM-MMIL,Advanced,NK cells,44,0.10387605310163713,0.09090909090909091,0.0
test,MCEM-MMIL,Advanced,T lymphocytes,316,0.05063028088947636,0.0031645569620253164,0.0
test,MCEM-MMIL,Advanced,MAST cells,1,0.0086045702919363,0.0,0.0
test,MCEM-MMIL,Early,Epithelial cells,43,0.4174875900539201,0.4418604651162791,0.046511627906976744
test,MCEM-MMIL,Early,Fibroblasts,15,0.15962493469317754,0.13333333333333333,0.0
test,MCEM-MMIL,Early,Myeloid cells,193,0.15325078344059423,0.09326424870466321,0.0051813471502590676
test,MCEM-MMIL,Early,B lymphocytes,53,0.09306075524995627,0.09433962264150944,0.0
test,MCEM-MMIL,Early,Endothelial cells,27,0.08026690018811708,0.037037037037037035,0.0
test,MCEM-MMIL,Early,NK cells,60,0.06680648503048962,0.05,0.0
test,MCEM-MMIL,Early,T lymphocytes,282,0.021330785201135846,0.0,0.0
test,MCEM-MMIL,Early,MAST cells,35,0.01518967194216587,0.0,0.0
