iter,delta,mean_q_advanced,mean_q_mc_advanced,train_logloss_inherited
1,0.051357310861383315,0.3000000000000001,0.299194847020934,1.082100329085668
2,0.041338073779622383,0.3000000000000001,0.2959837074926589,1.106595167978217
3,0.032952037049046964,0.29999637002019025,0.2987307000094723,1.1794241541229054
4,0.02537953056941342,0.29996827828495526,0.2990338164251208,1.2975862770950286
5,0.01863923077574007,0.29988284581793617,0.3001231410438572,1.4232787961805897
6,0.015576932582518799,0.29976481179637005,0.29923273657289,1.563324607316847
7,0.011422613655629915,0.29959818647736236,0.30067253954721984,1.6844888301916674
8,0.010045678751941088,0.29932751858097395,0.29940323955669224,1.8055550661786786
9,0.008851624012909612,0.2989489647307635,0.299223264184901,1.923334107498708
10,0.007666957803832256,0.29848028793046627,0.29899592687316473,2.026712359666263
11,0.00605790886522712,0.29811772810694365,0.2997631903002747,2.1228149975291006
12,0.005671065754616167,0.29705563211219527,0.2979729089703514,2.2150415485813313
13,0.004379728226016393,0.296242850491339,0.2967793880837359,2.265921573342095
14,0.004540986669721067,0.2953177842361333,0.2958037321208677,2.331030592673386
15,0.0028799029414293483,0.2949500139770039,0.29600265226863687,2.352836772754168
16,0.0030141694020537103,0.2941242446037002,0.2950838306337028,2.3693363577931312
17,0.0021770723092015176,0.2933831520093357,0.29396608885099934,2.3972497638110317
18,0.002538347777272452,0.2927749093418127,0.29328407691579045,2.416407313558835
19,0.0023947270354068434,0.29227268843197585,0.2925073411006915,2.407804923876102
20,0.0019086268909919322,0.2916323404084384,0.2915885194657573,2.4341168115569083
21,0.0014120481763172051,0.29181885766060733,0.29183480155347163,2.4532537290889747
22,0.0018677847760052199,0.29119422124489946,0.29097281424647153,2.478436688536257
23,0.0020850342498308703,0.29144804511174466,0.29173060528559247,2.4654429712048844
24,0.001638811880255456,0.2909275021758512,0.2908212560386474,2.465888057606934
25,0.0019709882457141694,0.29110798295113155,0.291332764990054,2.471788129950318
26,0.0024189186149833697,0.2916321601886786,0.292109500805153,2.476852363111416
27,0.0017868353167695059,0.29090432315806436,0.29099175902244956,2.4863130777761193
28,0.0020257870889440243,0.2906523207355827,0.29051813962299894,2.514880108020296
29,0.0018202037087722,0.29037203751202284,0.29008240977550437,2.5340406016535253
30,0.0022616419048696757,0.29083816716684857,0.2909633418584825,2.543294303055015
