experiment_id,task_type,categorical_scheme,feature_method,n_components,model_backend,glmnet_alpha,seed,rho,label_strength,mcem_samples,model,aggregation,n_patients,n_early,n_advanced,auroc,multiclass_logloss,accuracy,balanced_accuracy,macro_f1,metric_name,metric_value
EXP001_binary_PCAk10_glmnet_ridge_seed2026,binary,,PCA,10,glmnet,0.0,2026,0.7,,30,Deterministic EM-MMIL,q99_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP001_binary_PCAk10_glmnet_ridge_seed2026,binary,,PCA,10,glmnet,0.0,2026,0.7,,30,MCEM-MMIL,prop_gt_0.5,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP001_binary_PCAk10_glmnet_ridge_seed2026,binary,,PCA,10,glmnet,0.0,2026,0.7,,30,Naive inherited-label classifier,prop_gt_0.9,11,5.0,6.0,0.9666666666666668,,,,,auroc,0.9666666666666668
EXP002_binary_PCAk10_glmnet_elasticnet_seed2026,binary,,PCA,10,glmnet,0.5,2026,0.7,,30,Deterministic EM-MMIL,prop_gt_0.5,11,5.0,6.0,0.9333333333333332,,,,,auroc,0.9333333333333332
EXP002_binary_PCAk10_glmnet_elasticnet_seed2026,binary,,PCA,10,glmnet,0.5,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,0.9333333333333332,,,,,auroc,0.9333333333333332
EXP002_binary_PCAk10_glmnet_elasticnet_seed2026,binary,,PCA,10,glmnet,0.5,2026,0.7,,30,Naive inherited-label classifier,prop_gt_0.9,11,5.0,6.0,0.9666666666666668,,,,,auroc,0.9666666666666668
EXP003_binary_PCAk10_glmnet_lasso_seed2026,binary,,PCA,10,glmnet,1.0,2026,0.7,,30,Deterministic EM-MMIL,prop_gt_0.5,11,5.0,6.0,0.9333333333333332,,,,,auroc,0.9333333333333332
EXP003_binary_PCAk10_glmnet_lasso_seed2026,binary,,PCA,10,glmnet,1.0,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,0.9333333333333332,,,,,auroc,0.9333333333333332
EXP003_binary_PCAk10_glmnet_lasso_seed2026,binary,,PCA,10,glmnet,1.0,2026,0.7,,30,Naive inherited-label classifier,prop_gt_0.9,11,5.0,6.0,0.9666666666666668,,,,,auroc,0.9666666666666668
EXP004_binary_PCAk10_xgboost_seed2026,binary,,PCA,10,xgboost,,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,0.9,,,,,auroc,0.9
EXP004_binary_PCAk10_xgboost_seed2026,binary,,PCA,10,xgboost,,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,0.9333333333333332,,,,,auroc,0.9333333333333332
EXP004_binary_PCAk10_xgboost_seed2026,binary,,PCA,10,xgboost,,2026,0.7,,30,Naive inherited-label classifier,q90_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP005_binary_PCAk20_glmnet_ridge_seed2026,binary,,PCA,20,glmnet,0.0,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP005_binary_PCAk20_glmnet_ridge_seed2026,binary,,PCA,20,glmnet,0.0,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP005_binary_PCAk20_glmnet_ridge_seed2026,binary,,PCA,20,glmnet,0.0,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
