split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,I,Myeloid cells,I,168,0.47576839181110386,0.8866328649097338
test,Categorical EM-MMIL,I,B lymphocytes,I,43,0.4334861328475696,0.6619068537674007
test,Categorical EM-MMIL,I,T lymphocytes,I,248,0.4308786513368938,0.7848884256328859
test,Categorical EM-MMIL,I,Fibroblasts,I,31,0.2762147232686516,0.5888425004068257
test,Categorical EM-MMIL,I,MAST cells,I,35,0.20787531432530318,0.4188425657307361
test,Categorical EM-MMIL,I,NK cells,I,81,0.18248608543331668,0.3421221751647335
test,Categorical EM-MMIL,I,Undetermined,I,2,0.1501600141106525,0.1805605829426753
test,Categorical EM-MMIL,I,Endothelial cells,I,29,0.04353334893485429,0.09451342241807184
test,Categorical EM-MMIL,I,Epithelial cells,I,109,0.007307530947099982,2.1769390484790686e-05
test,Categorical EM-MMIL,I,Fibroblasts,II_III,31,0.5461502418679958,0.9083237879967796
test,Categorical EM-MMIL,I,Myeloid cells,II_III,168,0.09771434098800816,0.2455792744167198
test,Categorical EM-MMIL,I,NK cells,II_III,81,0.08934027729608435,0.2268532315767743
test,Categorical EM-MMIL,I,MAST cells,II_III,35,0.026318307598682863,0.05651847087791685
test,Categorical EM-MMIL,I,T lymphocytes,II_III,248,0.01679707585339356,0.0385151766123116
test,Categorical EM-MMIL,I,Endothelial cells,II_III,29,0.00979316704534936,0.028554782897199475
test,Categorical EM-MMIL,I,Epithelial cells,II_III,109,0.0005324942159921427,5.2321382977289336e-05
test,Categorical EM-MMIL,I,B lymphocytes,II_III,43,0.0005196397582140827,0.0006799836447840402
test,Categorical EM-MMIL,I,Undetermined,II_III,2,0.00025657912844105,0.00035629228664181003
test,Categorical EM-MMIL,I,Epithelial cells,IV,109,0.9921599748369081,0.9999999992203877
test,Categorical EM-MMIL,I,Endothelial cells,IV,29,0.9466734840197963,0.9960743200162164
test,Categorical EM-MMIL,I,Undetermined,IV,2,0.8495834067609065,0.88008368875113
test,Categorical EM-MMIL,I,MAST cells,IV,35,0.7658063780760139,0.9156667238952731
test,Categorical EM-MMIL,I,NK cells,IV,81,0.7281736372705988,0.9556834388489254
test,Categorical EM-MMIL,I,B lymphocytes,IV,43,0.5659942273942163,0.8024154655891242
test,Categorical EM-MMIL,I,T lymphocytes,IV,248,0.5523242728097126,0.8888793807724621
test,Categorical EM-MMIL,I,Myeloid cells,IV,168,0.42651726720088795,0.9975909540713983
test,Categorical EM-MMIL,I,Fibroblasts,IV,31,0.17763503486335247,0.6577444098269393
test,Categorical EM-MMIL,II_III,Myeloid cells,I,53,0.5444111296475881,0.9072440698739622
test,Categorical EM-MMIL,II_III,B lymphocytes,I,40,0.49104830824056506,0.7805465533070385
test,Categorical EM-MMIL,II_III,T lymphocytes,I,138,0.48520601576736694,0.7643230402788638
test,Categorical EM-MMIL,II_III,MAST cells,I,3,0.39777581365334697,0.7005719361032718
test,Categorical EM-MMIL,II_III,Undetermined,I,1,0.2759203391550808,0.2759203391550808
test,Categorical EM-MMIL,II_III,NK cells,I,5,0.11171962409306121,0.19951846024334338
test,Categorical EM-MMIL,II_III,Endothelial cells,I,1,0.1006091287336492,0.1006091287336492
test,Categorical EM-MMIL,II_III,Epithelial cells,I,10,7.401696474424343e-05,7.889064361634604e-05
