split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,I,Myeloid cells,I,168,0.4906727361991805,0.8426526574452289
test,Categorical EM-MMIL,I,B lymphocytes,I,43,0.4887178359925117,0.6184725845489932
test,Categorical EM-MMIL,I,T lymphocytes,I,248,0.42088782740141906,0.6427717983559669
test,Categorical EM-MMIL,I,Undetermined,I,2,0.38376053410491645,0.4542476312758785
test,Categorical EM-MMIL,I,MAST cells,I,35,0.332123694050039,0.4209801030672553
test,Categorical EM-MMIL,I,NK cells,I,81,0.3055571581433644,0.49153533577919
test,Categorical EM-MMIL,I,Endothelial cells,I,29,0.21638210875713454,0.400570406658682
test,Categorical EM-MMIL,I,Fibroblasts,I,31,0.18135001579831928,0.251782719072442
test,Categorical EM-MMIL,I,Epithelial cells,I,109,0.05943487906796233,0.11557920302742919
test,Categorical EM-MMIL,I,Fibroblasts,II_III,31,0.48823164487457743,0.6664105554459907
test,Categorical EM-MMIL,I,Endothelial cells,II_III,29,0.25984642631624544,0.3510608877292023
test,Categorical EM-MMIL,I,NK cells,II_III,81,0.13103352630921866,0.2890376150608063
test,Categorical EM-MMIL,I,MAST cells,II_III,35,0.09245075551091286,0.2678830190597394
test,Categorical EM-MMIL,I,Myeloid cells,II_III,168,0.08735715315105941,0.21730143870094012
test,Categorical EM-MMIL,I,Epithelial cells,II_III,109,0.07546063685992464,0.1876437969892076
test,Categorical EM-MMIL,I,T lymphocytes,II_III,248,0.06769607419276409,0.23989730973500767
test,Categorical EM-MMIL,I,Undetermined,II_III,2,0.02253160198780095,0.02766442345263419
test,Categorical EM-MMIL,I,B lymphocytes,II_III,43,0.014478460695843756,0.020700955859858837
test,Categorical EM-MMIL,I,Epithelial cells,IV,109,0.865104484072113,0.9690544641521455
test,Categorical EM-MMIL,I,Undetermined,IV,2,0.5937078639072825,0.6693277825430778
test,Categorical EM-MMIL,I,MAST cells,IV,35,0.5754255504390481,0.7126919746549177
test,Categorical EM-MMIL,I,NK cells,IV,81,0.5634093155474169,0.7623828862528191
test,Categorical EM-MMIL,I,Endothelial cells,IV,29,0.52377146492662,0.6859655267729654
test,Categorical EM-MMIL,I,T lymphocytes,IV,248,0.5114160984058167,0.6657664316887753
test,Categorical EM-MMIL,I,B lymphocytes,IV,43,0.49680370331164453,0.6148051376299188
test,Categorical EM-MMIL,I,Myeloid cells,IV,168,0.42197011064976003,0.8903549317146499
test,Categorical EM-MMIL,I,Fibroblasts,IV,31,0.3304183393271033,0.4933524282767645
test,Categorical EM-MMIL,II_III,B lymphocytes,I,40,0.46798397796534985,0.5996091109393891
test,Categorical EM-MMIL,II_III,Myeloid cells,I,53,0.4637555486137131,0.8186312119014714
test,Categorical EM-MMIL,II_III,T lymphocytes,I,138,0.46015536264162815,0.7001548209676645
test,Categorical EM-MMIL,II_III,MAST cells,I,3,0.4219766529813404,0.562680364641814
test,Categorical EM-MMIL,II_III,Endothelial cells,I,1,0.4213976797253239,0.4213976797253239
test,Categorical EM-MMIL,II_III,NK cells,I,5,0.26495022913309657,0.39804799181962924
test,Categorical EM-MMIL,II_III,Undetermined,I,1,0.2480251338571155,0.2480251338571155
test,Categorical EM-MMIL,II_III,Epithelial cells,I,10,0.07601675586306383,0.10938312225252116
test,Categorical EM-MMIL,II_III,Endothelial cells,II_III,1,0.2435004823878335,0.2435004823878335
test,Categorical EM-MMIL,II_III,MAST cells,II_III,3,0.1330879144763405,0.2720885308174945
test,Categorical EM-MMIL,II_III,Myeloid cells,II_III,53,0.11521961910068709,0.25809082401870165
