split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,I,Undetermined,I,2,0.8993147292475088,0.9686162051626118
test,Categorical EM-MMIL,I,B lymphocytes,I,43,0.763286634601302,0.9802524127541776
test,Categorical EM-MMIL,I,Myeloid cells,I,168,0.6071823135765174,0.968735414474275
test,Categorical EM-MMIL,I,T lymphocytes,I,248,0.5931563765918105,0.968820040771815
test,Categorical EM-MMIL,I,Fibroblasts,I,31,0.46978857662871454,0.9326941675863858
test,Categorical EM-MMIL,I,MAST cells,I,35,0.45515030961081465,0.7960352765254097
test,Categorical EM-MMIL,I,Endothelial cells,I,29,0.3846667876039464,0.7593732936461663
test,Categorical EM-MMIL,I,NK cells,I,81,0.3436603815121205,0.7526406981842376
test,Categorical EM-MMIL,I,Epithelial cells,I,109,0.26792931452016006,0.7883654250959494
test,Categorical EM-MMIL,I,Fibroblasts,II_III,31,0.313142978400856,0.9997431587613608
test,Categorical EM-MMIL,I,NK cells,II_III,81,0.26367375189735826,0.8265355482901816
test,Categorical EM-MMIL,I,MAST cells,II_III,35,0.2624237443620398,0.5735857879332251
test,Categorical EM-MMIL,I,Epithelial cells,II_III,109,0.2327090919371919,0.8082467869997465
test,Categorical EM-MMIL,I,T lymphocytes,II_III,248,0.20147801510126997,0.6332087229031471
test,Categorical EM-MMIL,I,Myeloid cells,II_III,168,0.14446508015233792,0.38799128510628383
test,Categorical EM-MMIL,I,Endothelial cells,II_III,29,0.042379917529595565,0.11312821123217519
test,Categorical EM-MMIL,I,B lymphocytes,II_III,43,0.018661636110173865,0.01950474810381888
test,Categorical EM-MMIL,I,Undetermined,II_III,2,3.3251477299599164e-07,3.488551628982776e-07
test,Categorical EM-MMIL,I,Endothelial cells,IV,29,0.5729532948664581,0.9173641610050299
test,Categorical EM-MMIL,I,Epithelial cells,IV,109,0.49936159354264814,0.9933387435888656
test,Categorical EM-MMIL,I,NK cells,IV,81,0.39266586659052116,0.8972249732504958
