split,model,n_patients,multiclass_logloss,accuracy,balanced_accuracy,macro_f1,aggregation
test,Categorical EM-MMIL,12,1.0389264069813275,0.75,0.6,0.8181818181818181,mean_prob
test,Categorical EM-MMIL,12,1.090084082857789,0.5833333333333334,0.4666666666666666,0.6346153846153846,q99_prob
test,Categorical EM-MMIL,12,1.5080902722994018,0.75,0.6,0.8181818181818181,q90_prob
test,Categorical EM-MMIL,12,1.9119211848843076,0.75,0.6,0.8181818181818181,median_prob
test,Categorical MCEM-MMIL,12,1.0255229927376392,0.75,0.6,0.8181818181818181,mean_prob
test,Categorical MCEM-MMIL,12,1.1036185791952373,0.5833333333333334,0.4666666666666666,0.6346153846153846,q99_prob
test,Categorical MCEM-MMIL,12,1.4332768900760902,0.75,0.6,0.8181818181818181,q90_prob
test,Categorical MCEM-MMIL,12,1.7122500568591892,0.75,0.6,0.8181818181818181,median_prob
test,Naive inherited-label classifier,12,0.7290330014223771,0.75,0.6,0.8181818181818181,median_prob
test,Naive inherited-label classifier,12,0.7865105383623399,0.75,0.6,0.8181818181818181,mean_prob
test,Naive inherited-label classifier,12,0.9080659943084625,0.75,0.6,0.8181818181818181,q90_prob
test,Naive inherited-label classifier,12,1.006955156210447,0.5833333333333334,0.4666666666666666,0.6071428571428572,q99_prob
train,Categorical EM-MMIL,32,0.49421137391311837,0.90625,0.7999999999999999,0.8229761904761905,mean_prob
train,Categorical EM-MMIL,32,0.8695513473859997,0.84375,0.7055555555555556,0.7107843137254902,q90_prob
train,Categorical EM-MMIL,32,0.8955012864080701,0.84375,0.7444444444444445,0.7744489099987821,q99_prob
train,Categorical EM-MMIL,32,0.8976751034665662,0.90625,0.7999999999999999,0.8229761904761905,median_prob
train,Categorical MCEM-MMIL,32,0.5002649881612644,0.90625,0.7999999999999999,0.8229761904761905,mean_prob
train,Categorical MCEM-MMIL,32,0.8062299133811212,0.90625,0.7999999999999999,0.8207491433297885,median_prob
train,Categorical MCEM-MMIL,32,0.8314929228539163,0.84375,0.7055555555555556,0.7107843137254902,q90_prob
train,Categorical MCEM-MMIL,32,0.8946845387712843,0.84375,0.7444444444444445,0.7744489099987821,q99_prob
train,Naive inherited-label classifier,32,0.4695958170761246,0.90625,0.7999999999999999,0.8229761904761905,median_prob
train,Naive inherited-label classifier,32,0.5404807469899204,0.90625,0.7999999999999999,0.8229761904761905,mean_prob
train,Naive inherited-label classifier,32,0.6777934223204025,0.875,0.7722222222222221,0.7990620490620491,q90_prob
train,Naive inherited-label classifier,32,0.848967361421867,0.84375,0.7444444444444445,0.7792207792207791,q99_prob
