split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,I,Undetermined,I,2,0.8633569964994248,0.9692668594235067
test,Categorical EM-MMIL,I,B lymphocytes,I,43,0.8131098723421988,0.9996203591760294
test,Categorical EM-MMIL,I,T lymphocytes,I,248,0.6225659678702461,0.9986128119905937
test,Categorical EM-MMIL,I,Myeloid cells,I,168,0.5814289449210309,0.9989238323371166
test,Categorical EM-MMIL,I,MAST cells,I,35,0.5666473446876135,0.9816905734621001
test,Categorical EM-MMIL,I,Endothelial cells,I,29,0.5192445713723457,0.9935304523145294
test,Categorical EM-MMIL,I,Fibroblasts,I,31,0.40347967096344656,0.9920791380627584
test,Categorical EM-MMIL,I,NK cells,I,81,0.3482410569352697,0.9561053035236964
test,Categorical EM-MMIL,I,Epithelial cells,I,109,0.2629173420126941,0.9937412434197571
test,Categorical EM-MMIL,I,Fibroblasts,II_III,31,0.47965987589907705,0.9999999999901016
test,Categorical EM-MMIL,I,MAST cells,II_III,35,0.27648805533445625,0.9186236597150755
test,Categorical EM-MMIL,I,NK cells,II_III,81,0.24159629739357905,0.9702962721783054
test,Categorical EM-MMIL,I,Epithelial cells,II_III,109,0.24047495271632147,0.9964926239801883
test,Categorical EM-MMIL,I,T lymphocytes,II_III,248,0.21001124655495376,0.895041590931571
test,Categorical EM-MMIL,I,Myeloid cells,II_III,168,0.15096376092332858,0.674906263069638
test,Categorical EM-MMIL,I,Endothelial cells,II_III,29,0.05767074856169521,0.054339086205840936
test,Categorical EM-MMIL,I,B lymphocytes,II_III,43,0.015030474093267389,0.0001725558111165655
test,Categorical EM-MMIL,I,Undetermined,II_III,2,1e-12,1e-12
test,Categorical EM-MMIL,I,Epithelial cells,IV,109,0.49660770527098436,0.9999026593882011
test,Categorical EM-MMIL,I,Endothelial cells,IV,29,0.42308468006595906,0.9840120453524556
test,Categorical EM-MMIL,I,NK cells,IV,81,0.4101626456711512,0.9828701672593264
test,Categorical EM-MMIL,I,Myeloid cells,IV,168,0.2676072941556404,0.9973934731661689
test,Categorical EM-MMIL,I,B lymphocytes,IV,43,0.1718596535645337,0.5761827096045534
test,Categorical EM-MMIL,I,T lymphocytes,IV,248,0.1674227855748001,0.68010394837001
test,Categorical EM-MMIL,I,MAST cells,IV,35,0.15686459997793029,0.41219758033944376
test,Categorical EM-MMIL,I,Undetermined,IV,2,0.13664300349957526,0.24255286642365723
test,Categorical EM-MMIL,I,Fibroblasts,IV,31,0.11686045313747644,0.2307028500239524
test,Categorical EM-MMIL,II_III,MAST cells,I,3,0.7255233932469825,0.9883203145453994
