split,model,n_patients,multiclass_logloss,accuracy,balanced_accuracy,macro_f1,aggregation
test,Categorical EM-MMIL,12,1.0510038994110673,0.75,0.6,0.8181818181818181,mean_prob
test,Categorical EM-MMIL,12,1.088671011323503,0.5833333333333334,0.4666666666666666,0.6346153846153846,q99_prob
test,Categorical EM-MMIL,12,1.569480949706857,0.75,0.6,0.8181818181818181,q90_prob
test,Categorical EM-MMIL,12,2.0978220306372144,0.75,0.6,0.8181818181818181,median_prob
test,Categorical MCEM-MMIL,12,1.0367287691919413,0.75,0.6,0.8181818181818181,mean_prob
test,Categorical MCEM-MMIL,12,1.1267272883556332,0.5833333333333334,0.4666666666666666,0.6346153846153846,q99_prob
test,Categorical MCEM-MMIL,12,1.4752597136605523,0.75,0.6,0.8181818181818181,q90_prob
test,Categorical MCEM-MMIL,12,1.83418176892988,0.75,0.6,0.8181818181818181,median_prob
test,Naive inherited-label classifier,12,0.7287866948157348,0.75,0.6,0.8181818181818181,median_prob
test,Naive inherited-label classifier,12,0.78639346549158,0.75,0.6,0.8181818181818181,mean_prob
test,Naive inherited-label classifier,12,0.9080211288966683,0.75,0.6,0.8181818181818181,q90_prob
test,Naive inherited-label classifier,12,1.0070600531237652,0.5833333333333334,0.4666666666666666,0.6071428571428572,q99_prob
train,Categorical EM-MMIL,32,0.49354784179436967,0.90625,0.7999999999999999,0.8229761904761905,mean_prob
train,Categorical EM-MMIL,32,0.887700485815323,0.84375,0.7444444444444445,0.7744489099987821,q99_prob
train,Categorical EM-MMIL,32,0.9201242971754076,0.84375,0.7055555555555556,0.7107843137254902,q90_prob
train,Categorical EM-MMIL,32,0.9891562905303001,0.90625,0.7999999999999999,0.8229761904761905,median_prob
train,Categorical MCEM-MMIL,32,0.5000343050234639,0.90625,0.7999999999999999,0.8229761904761905,mean_prob
train,Categorical MCEM-MMIL,32,0.8533807144186387,0.90625,0.7999999999999999,0.8229761904761905,median_prob
train,Categorical MCEM-MMIL,32,0.8646210633634422,0.84375,0.7055555555555556,0.7107843137254902,q90_prob
train,Categorical MCEM-MMIL,32,0.8983958745684849,0.84375,0.7444444444444445,0.7744489099987821,q99_prob
train,Naive inherited-label classifier,32,0.46927413719384875,0.90625,0.7999999999999999,0.8229761904761905,median_prob
train,Naive inherited-label classifier,32,0.5403436000652188,0.90625,0.7999999999999999,0.8229761904761905,mean_prob
train,Naive inherited-label classifier,32,0.6776034777243929,0.875,0.7722222222222221,0.7990620490620491,q90_prob
train,Naive inherited-label classifier,32,0.8491234172752493,0.84375,0.7444444444444445,0.7792207792207791,q99_prob
