split,model,n_patients,multiclass_logloss,accuracy,balanced_accuracy,macro_f1,aggregation
test,Categorical EM-MMIL,12,0.9740567982496385,0.6666666666666666,0.5333333333333333,0.7166666666666666,mean_prob
test,Categorical EM-MMIL,12,0.9858543223281431,0.6666666666666666,0.5333333333333333,0.7166666666666666,median_prob
test,Categorical EM-MMIL,12,1.0447908955426097,0.75,0.6,0.8181818181818181,q90_prob
test,Categorical EM-MMIL,12,1.052269348281672,0.5,0.39999999999999997,0.47619047619047616,q99_prob
test,Categorical MCEM-MMIL,12,0.9802671406517418,0.6666666666666666,0.5333333333333333,0.7166666666666666,mean_prob
test,Categorical MCEM-MMIL,12,0.9979475944437494,0.6666666666666666,0.5333333333333333,0.7166666666666666,median_prob
test,Categorical MCEM-MMIL,12,1.041951896835434,0.75,0.6,0.8181818181818181,q90_prob
test,Categorical MCEM-MMIL,12,1.07207881218029,0.5833333333333334,0.4666666666666666,0.6071428571428572,q99_prob
test,Naive inherited-label classifier,12,0.8410429401994098,0.6666666666666666,0.5333333333333333,0.7166666666666666,median_prob
test,Naive inherited-label classifier,12,0.8663362469801216,0.75,0.6,0.8181818181818181,mean_prob
test,Naive inherited-label classifier,12,0.9361760645321661,0.75,0.6,0.8181818181818181,q90_prob
test,Naive inherited-label classifier,12,0.9953194885573228,0.6666666666666666,0.5333333333333333,0.7179487179487178,q99_prob
train,Categorical EM-MMIL,32,0.639791609813658,0.8125,0.6777777777777777,0.6866804692891649,median_prob
train,Categorical EM-MMIL,32,0.6657863270829159,0.84375,0.7055555555555556,0.7107843137254902,mean_prob
train,Categorical EM-MMIL,32,0.7504037057637584,0.84375,0.7055555555555556,0.7107843137254902,q90_prob
train,Categorical EM-MMIL,32,0.8444608087878216,0.71875,0.5555555555555555,0.7846153846153847,q99_prob
train,Categorical MCEM-MMIL,32,0.6438138051700146,0.84375,0.7055555555555556,0.7107843137254902,median_prob
train,Categorical MCEM-MMIL,32,0.6661135938974612,0.84375,0.7055555555555556,0.7107843137254902,mean_prob
train,Categorical MCEM-MMIL,32,0.7482113093447575,0.84375,0.7055555555555556,0.7107843137254902,q90_prob
train,Categorical MCEM-MMIL,32,0.8389052954665357,0.71875,0.5944444444444444,0.6131354026090868,q99_prob
train,Naive inherited-label classifier,32,0.5517697498110969,0.875,0.7333333333333334,0.7341414141414142,median_prob
train,Naive inherited-label classifier,32,0.5923256496154892,0.875,0.7333333333333334,0.7341414141414142,mean_prob
train,Naive inherited-label classifier,32,0.6808467422150395,0.84375,0.7055555555555556,0.7107843137254902,q90_prob
train,Naive inherited-label classifier,32,0.8077216543403909,0.84375,0.7055555555555556,0.7156659765355418,q99_prob
