iter,delta,mean_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.07647659723050111,0.6640368264347161,0.8698829961780411,0.6499397832195906
2,0.04205506196630209,0.5592506511775702,0.7977105488960656,0.6537535126455238
3,0.024469746130336447,0.4935824203558401,0.7936661112712259,0.6545564030509835
4,0.01557088794730807,0.45033406344522875,0.8143691062967363,0.6577679646728222
5,0.010554262617133213,0.4203812189049301,0.8428189002482412,0.6597751906864713
6,0.007426417947857761,0.3989207999399749,0.871844156002636,0.6597751906864713
7,0.005354229735111502,0.3832009413623082,0.8984798105946692,0.6615816940987556
8,0.003921083723961369,0.3715137138621846,0.9216483277454166,0.6625853071055801
9,0.0029290004187439477,0.3626643097304106,0.941392662657246,0.6625853071055801
10,0.0022335314496154503,0.35582106581995193,0.9582278704167358,0.6609795262946607
11,0.001717615747844525,0.35046332632196076,0.97252538439536,0.660578081091931
12,0.001339303425584117,0.3462063175470228,0.9847454017853975,0.660578081091931
13,0.001074996986904403,0.34275000966088803,0.9953843314921286,0.660377358490566
14,0.0008655084367650643,0.33991764560696186,1.0046792545336074,0.660377358490566
15,0.0007098827346798171,0.3375737504394566,1.01283600562087,0.660377358490566
16,0.0005865312503599905,0.3356076523993178,1.0200528838869631,0.6601766358892012
17,0.0004889612135523271,0.33396217718215415,1.026408874705232,0.660377358490566
18,0.00040980615208497496,0.332573223651395,1.032017418016654,0.660578081091931
19,0.0003491044599510519,0.33138977901538574,1.0370018366004377,0.6607788036932959
20,0.00030532971744031686,0.33035878830938203,1.0415098222546466,0.660377358490566
21,0.0002574801802427769,0.32948867302951407,1.0453936070066567,0.660377358490566
22,0.0002279990707168797,0.32872499001248,1.0489317187441276,0.660377358490566
23,0.00019851889040514682,0.3280567607056496,1.0520815870038385,0.660377358490566
24,0.0001747635502423685,0.3274716930405725,1.0548972584028775,0.6601766358892012
25,0.0001511323646992217,0.3269676972522732,1.0573390589118887,0.6601766358892012
26,0.00013709334572961862,0.32651174294731045,1.0595722442969548,0.6601766358892012
27,0.00012185634740914311,0.3261063895852737,1.0616200532703435,0.6597751906864713
28,0.00010473766177144764,0.3257637355701321,1.063354810955369,0.6597751906864713
29,9.396854872079453e-05,0.3254661763850766,1.0648583267651333,0.6597751906864713
