split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,I,Myeloid cells,I,168,0.4812534111869152,0.8468328825171653
test,Categorical EM-MMIL,I,B lymphocytes,I,43,0.46498526017499553,0.6111285411149787
test,Categorical EM-MMIL,I,T lymphocytes,I,248,0.4224914500623452,0.6627231028994351
test,Categorical EM-MMIL,I,Fibroblasts,I,31,0.23062026856033035,0.3620178865383919
test,Categorical EM-MMIL,I,NK cells,I,81,0.18934456472314593,0.2613915708189437
test,Categorical EM-MMIL,I,Undetermined,I,2,0.18829457297586255,0.19353773958317508
test,Categorical EM-MMIL,I,MAST cells,I,35,0.12075992992779135,0.17918395451883845
test,Categorical EM-MMIL,I,Endothelial cells,I,29,0.10578915257684403,0.20126815551239005
test,Categorical EM-MMIL,I,Epithelial cells,I,109,0.013879005830733404,0.015640984487949983
test,Categorical EM-MMIL,I,Fibroblasts,II_III,31,0.5462019962685373,0.8642205792960024
test,Categorical EM-MMIL,I,NK cells,II_III,81,0.08541821620529111,0.160325695536338
test,Categorical EM-MMIL,I,Myeloid cells,II_III,168,0.0802348015695253,0.16618615068038564
test,Categorical EM-MMIL,I,Endothelial cells,II_III,29,0.04002664326212692,0.07701761336561865
test,Categorical EM-MMIL,I,Epithelial cells,II_III,109,0.013265620011814779,0.04351745201339064
test,Categorical EM-MMIL,I,T lymphocytes,II_III,248,0.011806100654083669,0.026406658930153336
test,Categorical EM-MMIL,I,MAST cells,II_III,35,0.01148757740961804,0.014207173851214205
test,Categorical EM-MMIL,I,B lymphocytes,II_III,43,0.004138679399552588,0.0057634189201500605
test,Categorical EM-MMIL,I,Undetermined,II_III,2,0.0039760452073012,0.0041293731530957604
test,Categorical EM-MMIL,I,Epithelial cells,IV,109,0.9728553741574517,0.999460160097351
test,Categorical EM-MMIL,I,MAST cells,IV,35,0.8677524926625907,0.9201101761453863
test,Categorical EM-MMIL,I,Endothelial cells,IV,29,0.8541842041610291,0.9440414925763401
test,Categorical EM-MMIL,I,Undetermined,IV,2,0.8077293818168361,0.8131258763699433
test,Categorical EM-MMIL,I,NK cells,IV,81,0.7252372190715629,0.8664100615362685
test,Categorical EM-MMIL,I,T lymphocytes,IV,248,0.5657024492835712,0.7794404731038957
test,Categorical EM-MMIL,I,B lymphocytes,IV,43,0.5308760604254519,0.6959788960536292
test,Categorical EM-MMIL,I,Myeloid cells,IV,168,0.4385117872435595,0.9776244605286337
test,Categorical EM-MMIL,I,Fibroblasts,IV,31,0.2231777351711324,0.5461989801400176
test,Categorical EM-MMIL,II_III,Myeloid cells,I,53,0.5137387096493954,0.8610632425760251
test,Categorical EM-MMIL,II_III,B lymphocytes,I,40,0.5037435511433821,0.6693468522375674
