split,model,n_patients,multiclass_logloss,accuracy,balanced_accuracy,macro_f1,aggregation
test,Categorical EM-MMIL,12,1.0075800551406793,0.5,0.39999999999999997,0.4791666666666667,q99_prob
test,Categorical EM-MMIL,12,1.098781103852107,0.5,0.39999999999999997,0.4791666666666667,mean_prob
test,Categorical EM-MMIL,12,1.1159281456748504,0.5833333333333334,0.4666666666666666,0.6068376068376069,q90_prob
test,Categorical EM-MMIL,12,1.175868880810744,0.5,0.39999999999999997,0.4791666666666667,median_prob
test,Categorical MCEM-MMIL,12,1.006823257314198,0.5,0.39999999999999997,0.47619047619047616,q99_prob
test,Categorical MCEM-MMIL,12,1.103928014782589,0.5,0.39999999999999997,0.4791666666666667,mean_prob
test,Categorical MCEM-MMIL,12,1.1577652161378704,0.5,0.39999999999999997,0.4791666666666667,median_prob
test,Categorical MCEM-MMIL,12,1.1667969261561948,0.5833333333333334,0.4666666666666666,0.6068376068376069,q90_prob
test,Naive inherited-label classifier,12,0.9638371276736692,0.5,0.39999999999999997,0.47619047619047616,mean_prob
test,Naive inherited-label classifier,12,0.9820222561274812,0.6666666666666666,0.5333333333333333,0.7166666666666666,q90_prob
test,Naive inherited-label classifier,12,0.9822332631199346,0.5,0.39999999999999997,0.47619047619047616,q99_prob
test,Naive inherited-label classifier,12,0.9829389148591186,0.5,0.39999999999999997,0.47619047619047616,median_prob
train,Categorical EM-MMIL,32,0.8061659267616383,0.75,0.5833333333333334,0.8144963144963145,q90_prob
train,Categorical EM-MMIL,32,0.8241412465504427,0.6875,0.5277777777777778,0.7346153846153847,mean_prob
train,Categorical EM-MMIL,32,0.8617706764135639,0.625,0.47222222222222227,0.6512605042016807,q99_prob
train,Categorical EM-MMIL,32,0.9262794503811115,0.6875,0.5277777777777778,0.7346153846153847,median_prob
train,Categorical MCEM-MMIL,32,0.8028347396885583,0.75,0.5833333333333334,0.8144963144963145,q90_prob
train,Categorical MCEM-MMIL,32,0.8260607634960616,0.6875,0.5277777777777778,0.7346153846153847,mean_prob
train,Categorical MCEM-MMIL,32,0.8617971446201799,0.6875,0.5277777777777778,0.7434210526315789,q99_prob
train,Categorical MCEM-MMIL,32,0.9259234069642973,0.6875,0.5277777777777778,0.7346153846153847,median_prob
train,Naive inherited-label classifier,32,0.7444358415149336,0.75,0.5833333333333334,0.8144963144963145,mean_prob
train,Naive inherited-label classifier,32,0.7552804004658513,0.71875,0.5555555555555555,0.7756892230576442,median_prob
train,Naive inherited-label classifier,32,0.7748130992492652,0.75,0.5833333333333334,0.8144963144963145,q90_prob
train,Naive inherited-label classifier,32,0.845115858246261,0.71875,0.5555555555555555,0.7756892230576442,q99_prob
