split,model,n_patients,multiclass_logloss,accuracy,balanced_accuracy,macro_f1,aggregation
test,Categorical EM-MMIL,12,0.9515862412244173,0.75,0.6,0.8181818181818181,mean_prob
test,Categorical EM-MMIL,12,1.0271032442118155,0.5833333333333334,0.4666666666666666,0.6346153846153846,q99_prob
test,Categorical EM-MMIL,12,1.1419907165161003,0.75,0.6,0.8181818181818181,q90_prob
test,Categorical EM-MMIL,12,1.1562256325884952,0.75,0.6,0.8181818181818181,median_prob
test,Categorical MCEM-MMIL,12,0.9316190010874524,0.75,0.6,0.8181818181818181,mean_prob
test,Categorical MCEM-MMIL,12,1.0280134068728517,0.5833333333333334,0.4666666666666666,0.6346153846153846,q99_prob
test,Categorical MCEM-MMIL,12,1.052975745735697,0.75,0.6,0.8181818181818181,median_prob
test,Categorical MCEM-MMIL,12,1.0884629426557915,0.75,0.6,0.8181818181818181,q90_prob
test,Naive inherited-label classifier,12,0.7466809398748079,0.75,0.6,0.8181818181818181,median_prob
test,Naive inherited-label classifier,12,0.7935114732191776,0.75,0.6,0.8181818181818181,mean_prob
test,Naive inherited-label classifier,12,0.9078052714497092,0.75,0.6,0.8181818181818181,q90_prob
test,Naive inherited-label classifier,12,1.0043806219788372,0.5833333333333334,0.4666666666666666,0.6071428571428572,q99_prob
train,Categorical EM-MMIL,32,0.5368319150438324,0.90625,0.7999999999999999,0.8229761904761905,mean_prob
train,Categorical EM-MMIL,32,0.5667354072256496,0.90625,0.7999999999999999,0.8229761904761905,median_prob
train,Categorical EM-MMIL,32,0.7489293101427741,0.875,0.7722222222222221,0.7990620490620491,q90_prob
train,Categorical EM-MMIL,32,0.9011227634642305,0.8125,0.6777777777777777,0.6919191919191919,q99_prob
train,Categorical MCEM-MMIL,32,0.54002609863911,0.90625,0.7999999999999999,0.8229761904761905,median_prob
train,Categorical MCEM-MMIL,32,0.5502219934074273,0.90625,0.7999999999999999,0.8229761904761905,mean_prob
train,Categorical MCEM-MMIL,32,0.7399245865775768,0.875,0.7722222222222221,0.7990620490620491,q90_prob
train,Categorical MCEM-MMIL,32,0.8973840530762294,0.8125,0.6777777777777777,0.6919191919191919,q99_prob
train,Naive inherited-label classifier,32,0.4813773993455749,0.90625,0.7999999999999999,0.8229761904761905,median_prob
train,Naive inherited-label classifier,32,0.5489651196076129,0.90625,0.7999999999999999,0.8229761904761905,mean_prob
train,Naive inherited-label classifier,32,0.6825660374604563,0.875,0.7722222222222221,0.7990620490620491,q90_prob
train,Naive inherited-label classifier,32,0.8465391425332718,0.84375,0.7444444444444445,0.7792207792207791,q99_prob
