split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,I,Undetermined,I,2,0.864419307985541,0.9690635616835296
test,Categorical EM-MMIL,I,B lymphocytes,I,43,0.8111291892912558,0.9994854718971443
test,Categorical EM-MMIL,I,T lymphocytes,I,248,0.6198334146818724,0.9982059173004936
test,Categorical EM-MMIL,I,Myeloid cells,I,168,0.5806532606557715,0.9984489325183372
test,Categorical EM-MMIL,I,MAST cells,I,35,0.563698199817896,0.9786730719847355
test,Categorical EM-MMIL,I,Endothelial cells,I,29,0.5165423864087141,0.9918690907122505
test,Categorical EM-MMIL,I,Fibroblasts,I,31,0.40515342913574565,0.9904487264019982
test,Categorical EM-MMIL,I,NK cells,I,81,0.34238078919262155,0.9446871411804174
test,Categorical EM-MMIL,I,Epithelial cells,I,109,0.2632549683738844,0.991937560398644
test,Categorical EM-MMIL,I,Fibroblasts,II_III,31,0.47550299962839715,0.9999999999702438
test,Categorical EM-MMIL,I,MAST cells,II_III,35,0.28228078018984365,0.9130804057119256
test,Categorical EM-MMIL,I,NK cells,II_III,81,0.24950235244414543,0.9691208226326418
test,Categorical EM-MMIL,I,Epithelial cells,II_III,109,0.23946576285960564,0.9950003944717997
test,Categorical EM-MMIL,I,T lymphocytes,II_III,248,0.21130227937611948,0.8840150083798485
test,Categorical EM-MMIL,I,Myeloid cells,II_III,168,0.15104330668563803,0.6526462387509352
test,Categorical EM-MMIL,I,Endothelial cells,II_III,29,0.05684222214782046,0.05588186269272339
test,Categorical EM-MMIL,I,B lymphocytes,II_III,43,0.01481931708307864,0.00026176789570715763
test,Categorical EM-MMIL,I,Undetermined,II_III,2,1.0000000000000002e-12,1.0000000000000002e-12
test,Categorical EM-MMIL,I,Epithelial cells,IV,109,0.49727926876650996,0.9998727389714045
test,Categorical EM-MMIL,I,Endothelial cells,IV,29,0.42661539144346533,0.981874359032244
test,Categorical EM-MMIL,I,NK cells,IV,81,0.408116858363233,0.979670429825557
test,Categorical EM-MMIL,I,Myeloid cells,IV,168,0.26830343265859036,0.9965771666005467
test,Categorical EM-MMIL,I,B lymphocytes,IV,43,0.17405149362566563,0.5751099833895936
test,Categorical EM-MMIL,I,T lymphocytes,IV,248,0.16886430594200805,0.6598185510889367
test,Categorical EM-MMIL,I,MAST cells,IV,35,0.15402101999226026,0.3941710274996841
test,Categorical EM-MMIL,I,Undetermined,IV,2,0.13558069201345904,0.24022494571144773
test,Categorical EM-MMIL,I,Fibroblasts,IV,31,0.11934357123585719,0.2115825356690761
test,Categorical EM-MMIL,II_III,MAST cells,I,3,0.7217740948949077,0.9856578256550241
test,Categorical EM-MMIL,II_III,Myeloid cells,I,53,0.6511073006902318,0.9987745646679687
test,Categorical EM-MMIL,II_III,T lymphocytes,I,138,0.6472155195635029,0.9985755387854899
test,Categorical EM-MMIL,II_III,B lymphocytes,I,40,0.5377861937391504,0.9785093293147512
test,Categorical EM-MMIL,II_III,Undetermined,I,1,0.3083738973725498,0.3083738973725498
test,Categorical EM-MMIL,II_III,Epithelial cells,I,10,0.25348033234735634,0.8949129322578206
test,Categorical EM-MMIL,II_III,Endothelial cells,I,1,0.251363969908442,0.251363969908442
test,Categorical EM-MMIL,II_III,NK cells,I,5,0.11185049103091496,0.23947661668781464
test,Categorical EM-MMIL,II_III,Epithelial cells,II_III,10,0.5747553772203234,0.9886431892898876
test,Categorical EM-MMIL,II_III,MAST cells,II_III,3,0.21017244932115342,0.4858613021722966
test,Categorical EM-MMIL,II_III,T lymphocytes,II_III,138,0.04142164374045182,0.04505151038868599
test,Categorical EM-MMIL,II_III,Myeloid cells,II_III,53,0.02499677146794972,0.11002598263951682
test,Categorical EM-MMIL,II_III,B lymphocytes,II_III,40,0.002777117485432995,0.0004972076651371505
test,Categorical EM-MMIL,II_III,NK cells,II_III,5,0.0023918973851907955,0.00617983486999086
test,Categorical EM-MMIL,II_III,Endothelial cells,II_III,1,2.992391463420789e-06,2.992391463420789e-06
test,Categorical EM-MMIL,II_III,Undetermined,II_III,1,8.347716785299005e-12,8.347716785299005e-12
test,Categorical EM-MMIL,II_III,NK cells,IV,5,0.8857576115838942,0.9779684170619763
test,Categorical EM-MMIL,II_III,Endothelial cells,IV,1,0.7486330377000946,0.7486330377000946
test,Categorical EM-MMIL,II_III,Undetermined,IV,1,0.6916261026191024,0.6916261026191024
test,Categorical EM-MMIL,II_III,B lymphocytes,IV,40,0.4594366887754166,0.977100844898853
test,Categorical EM-MMIL,II_III,Myeloid cells,IV,53,0.3238959278418185,0.993503616415971
test,Categorical EM-MMIL,II_III,T lymphocytes,IV,138,0.31136283669604525,0.9455574914642061
test,Categorical EM-MMIL,II_III,Epithelial cells,IV,10,0.17176429043232017,0.7379874533808568
test,Categorical EM-MMIL,II_III,MAST cells,IV,3,0.06805345578393894,0.15118129649605488
test,Categorical EM-MMIL,IV,Fibroblasts,I,6,0.33467641701971834,0.9919309558995214
test,Categorical EM-MMIL,IV,B lymphocytes,I,195,0.2290605079806968,0.8314410671723482
test,Categorical EM-MMIL,IV,T lymphocytes,I,344,0.19860151617632948,0.8025318533674224
test,Categorical EM-MMIL,IV,MAST cells,I,1,0.1969922544689152,0.1969922544689152
test,Categorical EM-MMIL,IV,NK cells,I,34,0.12915911352288703,0.43294054257577774
test,Categorical EM-MMIL,IV,Epithelial cells,I,267,0.09088230685814566,0.2918230485550943
test,Categorical EM-MMIL,IV,Myeloid cells,I,160,0.027379544010311164,0.0075803034446128995
test,Categorical EM-MMIL,IV,Undetermined,I,8,0.01012914691191358,0.028096767138202715
test,Categorical EM-MMIL,IV,Oligodendrocytes,I,6,0.0003209793889149758,0.00087858848517165
test,Categorical EM-MMIL,IV,Oligodendrocytes,II_III,6,0.17331315394660318,0.5154126926873397
test,Categorical EM-MMIL,IV,Myeloid cells,II_III,160,0.007459562402470021,0.00027136760165302
test,Categorical EM-MMIL,IV,Fibroblasts,II_III,6,0.0056904936724022975,0.017071197523823783
test,Categorical EM-MMIL,IV,NK cells,II_III,34,0.002588503676709794,0.003741619475627678
test,Categorical EM-MMIL,IV,B lymphocytes,II_III,195,0.0022343789624323417,7.259859374052533e-06
test,Categorical EM-MMIL,IV,Epithelial cells,II_III,267,0.0018450917028013819,9.523078493321431e-07
test,Categorical EM-MMIL,IV,T lymphocytes,II_III,344,0.001320702105537604,0.00017343999152423975
test,Categorical EM-MMIL,IV,MAST cells,II_III,1,0.0004581586804998,0.0004581586804998
test,Categorical EM-MMIL,IV,Undetermined,II_III,8,2.4729479221283924e-11,7.970180950372898e-11
test,Categorical EM-MMIL,IV,Undetermined,IV,8,0.989870853063357,0.9999920664778205
test,Categorical EM-MMIL,IV,Myeloid cells,IV,160,0.9651608935872188,0.9999999998681586
test,Categorical EM-MMIL,IV,Epithelial cells,IV,267,0.9072726014390529,0.9999800734902287
test,Categorical EM-MMIL,IV,NK cells,IV,34,0.8682523828004032,0.9999872763750143
test,Categorical EM-MMIL,IV,Oligodendrocytes,IV,6,0.8263658666644819,0.9998728513877444
test,Categorical EM-MMIL,IV,MAST cells,IV,1,0.802549586850585,0.802549586850585
test,Categorical EM-MMIL,IV,T lymphocytes,IV,344,0.8000777817181329,0.9999972873105025
test,Categorical EM-MMIL,IV,B lymphocytes,IV,195,0.768705113056871,0.9999566005268908
test,Categorical EM-MMIL,IV,Fibroblasts,IV,6,0.6596330893078793,0.9999971730806824
test,Categorical MCEM-MMIL,I,Undetermined,I,2,0.9284133860527173,0.9830578114950546
test,Categorical MCEM-MMIL,I,B lymphocytes,I,43,0.8097518639816494,0.9988620251704967
test,Categorical MCEM-MMIL,I,T lymphocytes,I,248,0.6099557928683567,0.9967887815786753
test,Categorical MCEM-MMIL,I,MAST cells,I,35,0.579147254955145,0.9735641000913943
test,Categorical MCEM-MMIL,I,Myeloid cells,I,168,0.5737756892313293,0.9965165500576276
test,Categorical MCEM-MMIL,I,Endothelial cells,I,29,0.5000442176364336,0.9833384727536988
test,Categorical MCEM-MMIL,I,Fibroblasts,I,31,0.4296427701601581,0.9884491683882112
test,Categorical MCEM-MMIL,I,NK cells,I,81,0.3430404916779104,0.9139670492484968
test,Categorical MCEM-MMIL,I,Epithelial cells,I,109,0.28253303862031665,0.9801186823087151
test,Categorical MCEM-MMIL,I,Fibroblasts,II_III,31,0.4509961184867006,0.9999999991809128
test,Categorical MCEM-MMIL,I,MAST cells,II_III,35,0.2878841751040985,0.8983866912008904
test,Categorical MCEM-MMIL,I,NK cells,II_III,81,0.24862103130394983,0.9535578733132922
test,Categorical MCEM-MMIL,I,Epithelial cells,II_III,109,0.22457104131942993,0.9718690832864378
test,Categorical MCEM-MMIL,I,T lymphocytes,II_III,248,0.21782987020075414,0.8401983193504192
test,Categorical MCEM-MMIL,I,Myeloid cells,II_III,168,0.15339054570529592,0.5463259520477288
test,Categorical MCEM-MMIL,I,Endothelial cells,II_III,29,0.0494720548713325,0.06536726946783869
test,Categorical MCEM-MMIL,I,B lymphocytes,II_III,43,0.014745875481398135,0.0006466636638114019
test,Categorical MCEM-MMIL,I,Undetermined,II_III,2,1.776681824375108e-10,2.0138206218317498e-10
test,Categorical MCEM-MMIL,I,Epithelial cells,IV,109,0.4928959200602535,0.999730427202273
test,Categorical MCEM-MMIL,I,Endothelial cells,IV,29,0.4504837274922338,0.9763788945141408
test,Categorical MCEM-MMIL,I,NK cells,IV,81,0.40833847701813974,0.9699443532909154
test,Categorical MCEM-MMIL,I,Myeloid cells,IV,168,0.27283376506337476,0.9943147039224145
test,Categorical MCEM-MMIL,I,B lymphocytes,IV,43,0.17550226053695236,0.5866979371177266
test,Categorical MCEM-MMIL,I,T lymphocytes,IV,248,0.1722143369308891,0.652812733767624
test,Categorical MCEM-MMIL,I,MAST cells,IV,35,0.1329685699407565,0.30232259554008706
test,Categorical MCEM-MMIL,I,Fibroblasts,IV,31,0.11936111135314129,0.2139550547417182
test,Categorical MCEM-MMIL,I,Undetermined,IV,2,0.07158661376961455,0.12623103918823786
test,Categorical MCEM-MMIL,II_III,MAST cells,I,3,0.7325483740237643,0.9805977645145012
