split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,I,Undetermined,I,2,0.9154654851480155,0.9814630709430665
test,Categorical EM-MMIL,I,B lymphocytes,I,43,0.8195096844217267,0.9996983281512525
test,Categorical EM-MMIL,I,T lymphocytes,I,248,0.6239125765595169,0.9988519805023729
test,Categorical EM-MMIL,I,MAST cells,I,35,0.5767051307737853,0.9883527850962294
test,Categorical EM-MMIL,I,Myeloid cells,I,168,0.5760951582669206,0.9988529351040463
test,Categorical EM-MMIL,I,Endothelial cells,I,29,0.550189822597723,0.9956850811768698
test,Categorical EM-MMIL,I,Fibroblasts,I,31,0.42807709185682913,0.9984373457266376
test,Categorical EM-MMIL,I,NK cells,I,81,0.35680131870445175,0.9685038606051174
test,Categorical EM-MMIL,I,Epithelial cells,I,109,0.2722859774378418,0.9960405132406237
test,Categorical EM-MMIL,I,Fibroblasts,II_III,31,0.4913797484703803,0.9999999999745222
test,Categorical EM-MMIL,I,MAST cells,II_III,35,0.29258796080880217,0.9492592836080056
test,Categorical EM-MMIL,I,Epithelial cells,II_III,109,0.23978410167849748,0.9967767750923809
test,Categorical EM-MMIL,I,NK cells,II_III,81,0.2347965335372527,0.9616818310018338
test,Categorical EM-MMIL,I,T lymphocytes,II_III,248,0.2089142006115761,0.8859036965059294
test,Categorical EM-MMIL,I,Myeloid cells,II_III,168,0.15710456986354387,0.7160511684670793
test,Categorical EM-MMIL,I,Endothelial cells,II_III,29,0.0668499513555643,0.0586063867818387
test,Categorical EM-MMIL,I,B lymphocytes,II_III,43,0.014471900971317992,0.0001560760939459805
test,Categorical EM-MMIL,I,Undetermined,II_III,2,1.0000000000000002e-12,1.0000000000000002e-12
test,Categorical EM-MMIL,I,Epithelial cells,IV,109,0.48792992088366066,0.9999448686570738
test,Categorical EM-MMIL,I,NK cells,IV,81,0.40840214775829553,0.9838345447367236
test,Categorical EM-MMIL,I,Endothelial cells,IV,29,0.3829602260467126,0.9817457915685693
test,Categorical EM-MMIL,I,Myeloid cells,IV,168,0.26680027186953553,0.9974807385113219
test,Categorical EM-MMIL,I,T lymphocytes,IV,248,0.16717322282890695,0.6928434913724253
test,Categorical EM-MMIL,I,B lymphocytes,IV,43,0.1660184146069553,0.6002639417638939
test,Categorical EM-MMIL,I,MAST cells,IV,35,0.13070690841741248,0.3147533845649826
test,Categorical EM-MMIL,I,Undetermined,IV,2,0.08453451485098451,0.15053210064603556
test,Categorical EM-MMIL,I,Fibroblasts,IV,31,0.08054315967279048,0.092698095203855
test,Categorical EM-MMIL,II_III,MAST cells,I,3,0.7267882354462826,0.9897527822254466
test,Categorical EM-MMIL,II_III,Myeloid cells,I,53,0.6555247240693612,0.9990665128278865
test,Categorical EM-MMIL,II_III,T lymphocytes,I,138,0.6443009124976363,0.9991546570947771
test,Categorical EM-MMIL,II_III,B lymphocytes,I,40,0.536580179065375,0.9846053365550513
test,Categorical EM-MMIL,II_III,Undetermined,I,1,0.5282791990278629,0.5282791990278629
test,Categorical EM-MMIL,II_III,Endothelial cells,I,1,0.3630542494081271,0.3630542494081271
