split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,I,Myeloid cells,I,168,0.5008162298991502,0.7463765449897278
test,Categorical EM-MMIL,I,Undetermined,I,2,0.48201741536459736,0.49220430488456096
test,Categorical EM-MMIL,I,T lymphocytes,I,248,0.4696815077831488,0.7029323492842375
test,Categorical EM-MMIL,I,B lymphocytes,I,43,0.43187518564601224,0.6057704469033264
test,Categorical EM-MMIL,I,NK cells,I,81,0.3061337074175355,0.4656532406806946
test,Categorical EM-MMIL,I,MAST cells,I,35,0.24084891043269796,0.3287001636733161
test,Categorical EM-MMIL,I,Fibroblasts,I,31,0.176169870775058,0.2759382046479521
test,Categorical EM-MMIL,I,Endothelial cells,I,29,0.16323829778908666,0.2355620058613888
test,Categorical EM-MMIL,I,Epithelial cells,I,109,0.1358380037973389,0.21815518047316695
test,Categorical EM-MMIL,I,Fibroblasts,II_III,31,0.2584615510524393,0.4268970616727192
test,Categorical EM-MMIL,I,Epithelial cells,II_III,109,0.1336921774328757,0.37215705662765075
test,Categorical EM-MMIL,I,NK cells,II_III,81,0.12405865465548652,0.3025752305984497
test,Categorical EM-MMIL,I,Endothelial cells,II_III,29,0.11899523621542618,0.2530935675557041
test,Categorical EM-MMIL,I,Myeloid cells,II_III,168,0.09324995604935434,0.19230427519022536
test,Categorical EM-MMIL,I,T lymphocytes,II_III,248,0.09079642395787083,0.1929089587430662
test,Categorical EM-MMIL,I,MAST cells,II_III,35,0.04120247026699441,0.06321687101034765
test,Categorical EM-MMIL,I,Undetermined,II_III,2,0.0318867357649911,0.040723010040173105
test,Categorical EM-MMIL,I,B lymphocytes,II_III,43,0.030449657694990268,0.04649837485635897
test,Categorical EM-MMIL,I,Epithelial cells,IV,109,0.7304698187697853,0.9003226281692095
test,Categorical EM-MMIL,I,MAST cells,IV,35,0.7179486193003076,0.815977752278228
test,Categorical EM-MMIL,I,Endothelial cells,IV,29,0.7177664659954871,0.8445843797957121
test,Categorical EM-MMIL,I,NK cells,IV,81,0.5698076379269779,0.7804264455304535
test,Categorical EM-MMIL,I,Fibroblasts,IV,31,0.5653685781725026,0.7381045708342705
test,Categorical EM-MMIL,I,B lymphocytes,IV,43,0.5376751566589973,0.7152336528679043
test,Categorical EM-MMIL,I,Undetermined,IV,2,0.48609584887041146,0.5051190126655571
test,Categorical EM-MMIL,I,T lymphocytes,IV,248,0.43952206825898027,0.6679260532151041
test,Categorical EM-MMIL,I,Myeloid cells,IV,168,0.4059338140514953,0.7576076025779421
