split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,I,Myeloid cells,I,168,0.45843468928625136,0.9998991754891904
test,Categorical EM-MMIL,I,B lymphocytes,I,43,0.30622678631885347,0.9137558027339604
test,Categorical EM-MMIL,I,T lymphocytes,I,248,0.28382696487041265,0.8762787362743839
test,Categorical EM-MMIL,I,NK cells,I,81,0.15042919691043033,0.54650930034579
test,Categorical EM-MMIL,I,Fibroblasts,I,31,0.10906302521422256,0.3174218118599781
test,Categorical EM-MMIL,I,MAST cells,I,35,0.08947963017547486,0.39565560298352526
test,Categorical EM-MMIL,I,Endothelial cells,I,29,0.0027603135221356823,0.0009128801594694572
test,Categorical EM-MMIL,I,Undetermined,I,2,3.0090182531892204e-09,5.401850175357842e-09
test,Categorical EM-MMIL,I,Epithelial cells,I,109,9.999999999999998e-13,1e-12
test,Categorical EM-MMIL,I,Fibroblasts,II_III,31,0.7397084537650497,0.9945047604914624
test,Categorical EM-MMIL,I,Myeloid cells,II_III,168,0.12342264766352032,0.6260760839213544
test,Categorical EM-MMIL,I,NK cells,II_III,81,0.0838047615082489,0.3085598019716984
test,Categorical EM-MMIL,I,T lymphocytes,II_III,248,0.0718706605637858,0.20069140868961208
test,Categorical EM-MMIL,I,MAST cells,II_III,35,0.05816496691402462,0.1046273701110487
test,Categorical EM-MMIL,I,B lymphocytes,II_III,43,0.0487444314663878,0.020497786026019236
test,Categorical EM-MMIL,I,Endothelial cells,II_III,29,0.03449103981879022,0.10541953095387809
test,Categorical EM-MMIL,I,Undetermined,II_III,2,2.12322635255532e-12,3.0218074345995758e-12
test,Categorical EM-MMIL,I,Epithelial cells,II_III,109,9.999999999999998e-13,1e-12
test,Categorical EM-MMIL,I,Epithelial cells,IV,109,0.9999999999979998,0.999999999998
test,Categorical EM-MMIL,I,Undetermined,IV,2,0.9999999969888584,0.999999999382589
test,Categorical EM-MMIL,I,Endothelial cells,IV,29,0.9627486466590741,0.999999999998
test,Categorical EM-MMIL,I,MAST cells,IV,35,0.8523554029105005,0.9999999999393919
test,Categorical EM-MMIL,I,NK cells,IV,81,0.7657660415813208,0.9999937635217654
test,Categorical EM-MMIL,I,B lymphocytes,IV,43,0.6450287822147587,0.9998369649831503
test,Categorical EM-MMIL,I,T lymphocytes,IV,248,0.6443023745658015,0.9999678151273256
test,Categorical EM-MMIL,I,Myeloid cells,IV,168,0.4181426630502284,0.999999999998
test,Categorical EM-MMIL,I,Fibroblasts,IV,31,0.15122852102072765,0.6014860756714805
test,Categorical EM-MMIL,II_III,Endothelial cells,I,1,0.7131829871867791,0.7131829871867791
