split,model,n_patients,multiclass_logloss,accuracy,balanced_accuracy,macro_f1,aggregation
test,Categorical EM-MMIL,12,0.9525045444079533,0.4166666666666667,0.3333333333333333,0.5882352941176471,q90_prob
test,Categorical EM-MMIL,12,1.0155409283715673,0.4166666666666667,0.3333333333333333,0.5882352941176471,q99_prob
test,Categorical EM-MMIL,12,1.1606486331940866,0.4166666666666667,0.3333333333333333,0.625,mean_prob
test,Categorical EM-MMIL,12,3.7562352268085903,0.4166666666666667,0.3333333333333333,0.625,median_prob
test,Categorical MCEM-MMIL,12,0.9550729552457731,0.4166666666666667,0.3333333333333333,0.5882352941176471,q90_prob
test,Categorical MCEM-MMIL,12,1.0204672547265976,0.4166666666666667,0.3333333333333333,0.5882352941176471,q99_prob
test,Categorical MCEM-MMIL,12,1.1644448371094718,0.4166666666666667,0.3333333333333333,0.625,mean_prob
test,Categorical MCEM-MMIL,12,3.5962653459859077,0.4166666666666667,0.3333333333333333,0.625,median_prob
test,Naive inherited-label classifier,12,0.9541609796751288,0.5,0.39999999999999997,0.47619047619047616,q90_prob
test,Naive inherited-label classifier,12,0.9721072310213837,0.4166666666666667,0.3333333333333333,0.625,mean_prob
test,Naive inherited-label classifier,12,0.9876931030730249,0.4166666666666667,0.3333333333333333,0.5882352941176471,median_prob
test,Naive inherited-label classifier,12,1.0142772813099767,0.4166666666666667,0.3333333333333333,0.5882352941176471,q99_prob
train,Categorical EM-MMIL,32,0.6822537750485366,0.78125,0.65,0.6576949620427882,mean_prob
train,Categorical EM-MMIL,32,0.805852952102211,0.6875,0.5277777777777778,0.7346153846153847,q90_prob
train,Categorical EM-MMIL,32,0.9466806889999869,0.5,0.3611111111111111,0.40301003344481606,q99_prob
train,Categorical EM-MMIL,32,1.2806900696698642,0.78125,0.65,0.6576949620427882,median_prob
train,Categorical MCEM-MMIL,32,0.6816130196750896,0.78125,0.65,0.6576949620427882,mean_prob
train,Categorical MCEM-MMIL,32,0.8008800488678872,0.6875,0.5277777777777778,0.7346153846153847,q90_prob
train,Categorical MCEM-MMIL,32,0.9426204667170762,0.46875,0.3333333333333333,0.6382978723404256,q99_prob
train,Categorical MCEM-MMIL,32,1.2091702400107838,0.78125,0.65,0.6576949620427882,median_prob
train,Naive inherited-label classifier,32,0.8003025024283695,0.6875,0.5277777777777778,0.7434210526315789,mean_prob
train,Naive inherited-label classifier,32,0.8142162585673967,0.65625,0.5,0.6846153846153846,median_prob
train,Naive inherited-label classifier,32,0.8241131532702382,0.65625,0.5,0.6991869918699187,q90_prob
train,Naive inherited-label classifier,32,0.9057197654659768,0.53125,0.3888888888888889,0.47619047619047616,q99_prob
