split,model,n_patients,multiclass_logloss,accuracy,balanced_accuracy,macro_f1,aggregation
test,Categorical EM-MMIL,12,0.9879410302920896,0.5833333333333334,0.4666666666666666,0.6068376068376069,mean_prob
test,Categorical EM-MMIL,12,1.0087549020951008,0.5,0.39999999999999997,0.4791666666666667,q99_prob
test,Categorical EM-MMIL,12,1.0426602674012548,0.5,0.39999999999999997,0.47619047619047616,q90_prob
test,Categorical EM-MMIL,12,1.241205747499035,0.6666666666666666,0.5333333333333333,0.7166666666666666,median_prob
test,Categorical MCEM-MMIL,12,0.9761226208900338,0.5833333333333334,0.4666666666666666,0.6068376068376069,mean_prob
test,Categorical MCEM-MMIL,12,1.0182561598127406,0.5,0.39999999999999997,0.4791666666666667,q99_prob
test,Categorical MCEM-MMIL,12,1.0435328314585153,0.5,0.39999999999999997,0.47619047619047616,q90_prob
test,Categorical MCEM-MMIL,12,1.1315199585120206,0.6666666666666666,0.5333333333333333,0.7166666666666666,median_prob
test,Naive inherited-label classifier,12,0.7969655182942857,0.75,0.6,0.8181818181818181,median_prob
test,Naive inherited-label classifier,12,0.8278997394911486,0.75,0.6,0.8181818181818181,mean_prob
test,Naive inherited-label classifier,12,0.8989224651109661,0.6666666666666666,0.5333333333333333,0.7166666666666666,q90_prob
test,Naive inherited-label classifier,12,0.9698342332942547,0.5,0.39999999999999997,0.4791666666666667,q99_prob
train,Categorical EM-MMIL,32,0.649709660576151,0.8125,0.6777777777777777,0.6830065359477123,mean_prob
train,Categorical EM-MMIL,32,0.7442159284597369,0.8125,0.6777777777777777,0.6830065359477123,median_prob
train,Categorical EM-MMIL,32,0.7574431256552466,0.71875,0.5555555555555555,0.7756892230576442,q90_prob
train,Categorical EM-MMIL,32,0.8939274778707379,0.65625,0.5,0.6991869918699187,q99_prob
train,Categorical MCEM-MMIL,32,0.6641094139430707,0.8125,0.6777777777777777,0.6830065359477123,mean_prob
train,Categorical MCEM-MMIL,32,0.7309097755917272,0.8125,0.6777777777777777,0.6830065359477123,median_prob
train,Categorical MCEM-MMIL,32,0.7539658942653514,0.71875,0.5555555555555555,0.7756892230576442,q90_prob
train,Categorical MCEM-MMIL,32,0.903784817789737,0.65625,0.5,0.6991869918699187,q99_prob
train,Naive inherited-label classifier,32,0.6240765131893309,0.75,0.6222222222222222,0.6313131313131313,median_prob
train,Naive inherited-label classifier,32,0.6697825412126894,0.8125,0.6777777777777777,0.6830065359477123,mean_prob
train,Naive inherited-label classifier,32,0.7633167118486341,0.78125,0.6111111111111112,0.8452380952380952,q90_prob
train,Naive inherited-label classifier,32,0.8900073917680388,0.71875,0.5555555555555555,0.7846153846153847,q99_prob
