split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,I,Undetermined,I,2,0.8284397028314403,0.9294205613971358
test,Categorical EM-MMIL,I,B lymphocytes,I,43,0.6750748890055942,0.9547705116994886
test,Categorical EM-MMIL,I,T lymphocytes,I,248,0.6211334354754684,0.9688645032308985
test,Categorical EM-MMIL,I,Myeloid cells,I,168,0.5863941954329437,0.9860987739228194
test,Categorical EM-MMIL,I,MAST cells,I,35,0.43386296339735625,0.800262715181147
test,Categorical EM-MMIL,I,NK cells,I,81,0.3948179138671624,0.8386027829675086
test,Categorical EM-MMIL,I,Fibroblasts,I,31,0.26183243151767704,0.5846106166943933
test,Categorical EM-MMIL,I,Endothelial cells,I,29,0.15296243163619916,0.5295609244801393
test,Categorical EM-MMIL,I,Epithelial cells,I,109,0.0339264266117528,0.08195648028351066
test,Categorical EM-MMIL,I,Fibroblasts,II_III,31,0.4567710205423576,0.8195536416291641
test,Categorical EM-MMIL,I,Epithelial cells,II_III,109,0.1575442851795886,0.7439232741592845
test,Categorical EM-MMIL,I,NK cells,II_III,81,0.14940062572674187,0.4575586842048483
test,Categorical EM-MMIL,I,MAST cells,II_III,35,0.1487263311284463,0.2961279164717782
test,Categorical EM-MMIL,I,Myeloid cells,II_III,168,0.11640675380782656,0.3640944143635453
test,Categorical EM-MMIL,I,T lymphocytes,II_III,248,0.10623123603424019,0.3233277264767761
test,Categorical EM-MMIL,I,Endothelial cells,II_III,29,0.01887491114933417,0.07990646185766631
test,Categorical EM-MMIL,I,B lymphocytes,II_III,43,0.01632245401377624,0.01128120357460472
test,Categorical EM-MMIL,I,Undetermined,II_III,2,0.0007441315202707,0.00090418447669398
test,Categorical EM-MMIL,I,Endothelial cells,IV,29,0.8281626572144667,0.998486598433128
test,Categorical EM-MMIL,I,Epithelial cells,IV,109,0.8085292882086585,0.9998365114282567
test,Categorical EM-MMIL,I,NK cells,IV,81,0.45578146040609563,0.9124385473709172
test,Categorical EM-MMIL,I,MAST cells,IV,35,0.41741070547419745,0.8478511719708424
test,Categorical EM-MMIL,I,B lymphocytes,IV,43,0.3086026569806295,0.721920888202077
test,Categorical EM-MMIL,I,Myeloid cells,IV,168,0.29719905075922964,0.9526689383290908
test,Categorical EM-MMIL,I,Fibroblasts,IV,31,0.2813965479399653,0.7086299551804276
test,Categorical EM-MMIL,I,T lymphocytes,IV,248,0.2726353284902915,0.7733082615874972
test,Categorical EM-MMIL,I,Undetermined,IV,2,0.1708161656482888,0.271636971257561
test,Categorical EM-MMIL,II_III,Myeloid cells,I,53,0.6511109594802652,0.9835829395919108
test,Categorical EM-MMIL,II_III,T lymphocytes,I,138,0.6460687287988973,0.9570537243201177
test,Categorical EM-MMIL,II_III,B lymphocytes,I,40,0.6322916538796944,0.9417175764199249
test,Categorical EM-MMIL,II_III,MAST cells,I,3,0.5935017111909197,0.9085398879012552
test,Categorical EM-MMIL,II_III,Undetermined,I,1,0.4135300924046262,0.4135300924046262
test,Categorical EM-MMIL,II_III,Endothelial cells,I,1,0.3740915933173321,0.3740915933173321
test,Categorical EM-MMIL,II_III,NK cells,I,5,0.32455998865662317,0.74151934811839
test,Categorical EM-MMIL,II_III,Epithelial cells,I,10,0.027944653189183134,0.05886556181549037
test,Categorical EM-MMIL,II_III,Epithelial cells,II_III,10,0.45964405990944074,0.6933851962688381
test,Categorical EM-MMIL,II_III,Myeloid cells,II_III,53,0.0626430630957074,0.1741474816037173
test,Categorical EM-MMIL,II_III,MAST cells,II_III,3,0.03942016056730973,0.0614770788444255
test,Categorical EM-MMIL,II_III,T lymphocytes,II_III,138,0.031821278353175456,0.08047216244921282
test,Categorical EM-MMIL,II_III,B lymphocytes,II_III,40,0.02216036335508282,0.010534368956776181
test,Categorical EM-MMIL,II_III,Undetermined,II_III,1,0.0072706502245787,0.0072706502245787
test,Categorical EM-MMIL,II_III,NK cells,II_III,5,0.0021416451051668576,0.005197943993518941
test,Categorical EM-MMIL,II_III,Endothelial cells,II_III,1,0.0009958926854915,0.0009958926854915
test,Categorical EM-MMIL,II_III,NK cells,IV,5,0.6732983662382098,0.9551302478768602
test,Categorical EM-MMIL,II_III,Endothelial cells,IV,1,0.6249125139971763,0.6249125139971763
test,Categorical EM-MMIL,II_III,Undetermined,IV,1,0.5791992573707951,0.5791992573707951
test,Categorical EM-MMIL,II_III,Epithelial cells,IV,10,0.5124112869013759,0.8449042168368557
test,Categorical EM-MMIL,II_III,MAST cells,IV,3,0.3670781282417706,0.6520581550013315
test,Categorical EM-MMIL,II_III,B lymphocytes,IV,40,0.34554798276522264,0.7652326372617541
test,Categorical EM-MMIL,II_III,T lymphocytes,IV,138,0.32210999284792724,0.798977640826435
test,Categorical EM-MMIL,II_III,Myeloid cells,IV,53,0.28624597742402746,0.935576174450755
test,Categorical EM-MMIL,IV,T lymphocytes,I,344,0.26825548556633444,0.7543248640828725
test,Categorical EM-MMIL,IV,B lymphocytes,I,195,0.24225069126401955,0.6498584149726843
test,Categorical EM-MMIL,IV,NK cells,I,34,0.19826821265984146,0.6314190154206422
test,Categorical EM-MMIL,IV,Fibroblasts,I,6,0.12489040460488421,0.23946619198647073
test,Categorical EM-MMIL,IV,MAST cells,I,1,0.0983981298253829,0.0983981298253829
test,Categorical EM-MMIL,IV,Myeloid cells,I,160,0.06009217347115818,0.10785910558360393
test,Categorical EM-MMIL,IV,Undetermined,I,8,0.02472674626143386,0.049796724695899706
test,Categorical EM-MMIL,IV,Epithelial cells,I,267,0.008179444894700974,0.005356120683265723
test,Categorical EM-MMIL,IV,Oligodendrocytes,I,6,0.002380330406060651,0.00692060091949135
test,Categorical EM-MMIL,IV,Fibroblasts,II_III,6,0.049701291700062496,0.12308160655435524
test,Categorical EM-MMIL,IV,Oligodendrocytes,II_III,6,0.0329958913892336,0.0713049133428036
test,Categorical EM-MMIL,IV,B lymphocytes,II_III,195,0.011941734120965329,0.006605124710529076
