split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,I,Undetermined,I,2,0.9519876768008422,0.9891077305737089
test,Categorical EM-MMIL,I,T lymphocytes,I,248,0.6857614942664841,0.9990496815365233
test,Categorical EM-MMIL,I,B lymphocytes,I,43,0.6422927820940104,0.9961744805613848
test,Categorical EM-MMIL,I,Myeloid cells,I,168,0.579280462147475,0.9982817491806453
test,Categorical EM-MMIL,I,NK cells,I,81,0.3533086404709712,0.9694161094753532
test,Categorical EM-MMIL,I,Fibroblasts,I,31,0.3187870986525565,0.918929144489336
test,Categorical EM-MMIL,I,MAST cells,I,35,0.28371020779662914,0.8907218995795495
test,Categorical EM-MMIL,I,Endothelial cells,I,29,0.14439004108429204,0.5249194344940148
test,Categorical EM-MMIL,I,Epithelial cells,I,109,0.0006490826135960275,6.704370364711443e-05
test,Categorical EM-MMIL,I,Fibroblasts,II_III,31,0.511611464558682,0.9938376265940452
test,Categorical EM-MMIL,I,MAST cells,II_III,35,0.16007951235839518,0.7384962620252492
test,Categorical EM-MMIL,I,Epithelial cells,II_III,109,0.13408159324130436,0.9686615100576158
test,Categorical EM-MMIL,I,NK cells,II_III,81,0.10890548089557728,0.5658431624826032
test,Categorical EM-MMIL,I,Myeloid cells,II_III,168,0.1083377715384558,0.3686475461590147
test,Categorical EM-MMIL,I,T lymphocytes,II_III,248,0.077016988009767,0.3325611495929964
test,Categorical EM-MMIL,I,Endothelial cells,II_III,29,0.032908829171831175,0.009832487042064995
test,Categorical EM-MMIL,I,B lymphocytes,II_III,43,0.02281305999449114,0.0003882031014763585
test,Categorical EM-MMIL,I,Undetermined,II_III,2,5.186092569207734e-06,8.0232460015115e-06
test,Categorical EM-MMIL,I,Epithelial cells,IV,109,0.8652693241450996,0.999999999998
test,Categorical EM-MMIL,I,Endothelial cells,IV,29,0.8227011297438768,0.9999997604122672
test,Categorical EM-MMIL,I,MAST cells,IV,35,0.5562102798449755,0.9988844115700632
test,Categorical EM-MMIL,I,NK cells,IV,81,0.5377858786334514,0.9971357902863732
test,Categorical EM-MMIL,I,B lymphocytes,IV,43,0.33489415791149846,0.9311892706604695
test,Categorical EM-MMIL,I,Myeloid cells,IV,168,0.3123817663140692,0.9999707191870799
test,Categorical EM-MMIL,I,T lymphocytes,IV,248,0.2372215177237489,0.9200431818690273
test,Categorical EM-MMIL,I,Fibroblasts,IV,31,0.16960143678876147,0.5453878971373031
test,Categorical EM-MMIL,I,Undetermined,IV,2,0.0480071371065885,0.08513002803288755
test,Categorical EM-MMIL,II_III,B lymphocytes,I,40,0.673552591667543,0.9938147631040236
test,Categorical EM-MMIL,II_III,T lymphocytes,I,138,0.6733065805013607,0.9964189922117618
test,Categorical EM-MMIL,II_III,Myeloid cells,I,53,0.632981998970537,0.9992631666542311
test,Categorical EM-MMIL,II_III,MAST cells,I,3,0.3460059904724275,0.8046225112123
test,Categorical EM-MMIL,II_III,NK cells,I,5,0.20782950545913992,0.6056970405520805
test,Categorical EM-MMIL,II_III,Undetermined,I,1,0.1735783307985844,0.1735783307985844
test,Categorical EM-MMIL,II_III,Endothelial cells,I,1,0.0033061016528344,0.0033061016528344
test,Categorical EM-MMIL,II_III,Epithelial cells,I,10,0.00019483792071887642,0.00020429031579772517
test,Categorical EM-MMIL,II_III,Epithelial cells,II_III,10,0.44916111831917477,0.9623957046364717
test,Categorical EM-MMIL,II_III,Myeloid cells,II_III,53,0.07698299951474467,0.2807827882986381
test,Categorical EM-MMIL,II_III,B lymphocytes,II_III,40,0.02505554663926527,6.0839062802917284e-05
test,Categorical EM-MMIL,II_III,T lymphocytes,II_III,138,0.01514833374470482,0.007416704954997198
test,Categorical EM-MMIL,II_III,MAST cells,II_III,3,0.0008601555715393,0.0015678185612281802
test,Categorical EM-MMIL,II_III,Undetermined,II_III,1,1.039484506343182e-05,1.039484506343182e-05
test,Categorical EM-MMIL,II_III,NK cells,II_III,5,1.0020072632866445e-06,2.7723493655608543e-06
test,Categorical EM-MMIL,II_III,Endothelial cells,II_III,1,2.736007228463988e-08,2.736007228463988e-08
test,Categorical EM-MMIL,II_III,Endothelial cells,IV,1,0.9966938709870934,0.9966938709870934
test,Categorical EM-MMIL,II_III,Undetermined,IV,1,0.8264112743563522,0.8264112743563522
test,Categorical EM-MMIL,II_III,NK cells,IV,5,0.7921694925335968,0.9985658956432376
test,Categorical EM-MMIL,II_III,MAST cells,IV,3,0.6531338539560331,0.9836099929514941
test,Categorical EM-MMIL,II_III,Epithelial cells,IV,10,0.5506440437601063,0.9998309625572948
test,Categorical EM-MMIL,II_III,T lymphocytes,IV,138,0.31154508575393447,0.9830181357331517
test,Categorical EM-MMIL,II_III,B lymphocytes,IV,40,0.30139186169319176,0.9031299274026321
test,Categorical EM-MMIL,II_III,Myeloid cells,IV,53,0.29003500151471817,0.9999971062865844
test,Categorical EM-MMIL,IV,T lymphocytes,I,344,0.20856178026266636,0.7489018036641131
test,Categorical EM-MMIL,IV,B lymphocytes,I,195,0.15214357382358407,0.613989912344274
test,Categorical EM-MMIL,IV,NK cells,I,34,0.08920254661265024,0.34594310273102025
test,Categorical EM-MMIL,IV,Myeloid cells,I,160,0.065151181846862,0.02570190768937213
test,Categorical EM-MMIL,IV,Fibroblasts,I,6,0.0033975631149012445,0.00819445760374085
test,Categorical EM-MMIL,IV,Undetermined,I,8,0.002750199995473171,0.007012127178545999
test,Categorical EM-MMIL,IV,MAST cells,I,1,0.0009586271077274,0.0009586271077274
test,Categorical EM-MMIL,IV,Epithelial cells,I,267,0.00020761540630140834,1.0000000000000002e-12
test,Categorical EM-MMIL,IV,Oligodendrocytes,I,6,1.7948643452774895e-09,5.382593035832469e-09
test,Categorical EM-MMIL,IV,Fibroblasts,II_III,6,0.04260673420840678,0.12780998557649464
test,Categorical EM-MMIL,IV,B lymphocytes,II_III,195,0.012103843207420435,9.94055022852938e-06
test,Categorical EM-MMIL,IV,Oligodendrocytes,II_III,6,0.0011878658629224513,0.0035621406314703635
test,Categorical EM-MMIL,IV,T lymphocytes,II_III,344,0.00023229613351698994,1.1936887228947324e-05
test,Categorical EM-MMIL,IV,Myeloid cells,II_III,160,0.00019253398989456695,4.7105457972283296e-05
test,Categorical EM-MMIL,IV,NK cells,II_III,34,0.00015932390594454335,1.2568851530382777e-05
test,Categorical EM-MMIL,IV,MAST cells,II_III,1,1.252925038399498e-05,1.252925038399498e-05
test,Categorical EM-MMIL,IV,Epithelial cells,II_III,267,3.1520294732563813e-06,3.4415947051897895e-11
test,Categorical EM-MMIL,IV,Undetermined,II_III,8,6.669734634162081e-09,1.6116526367929724e-08
test,Categorical EM-MMIL,IV,Epithelial cells,IV,267,0.9997892325642252,0.999999999998
test,Categorical EM-MMIL,IV,MAST cells,IV,1,0.9990288436418884,0.9990288436418884
test,Categorical EM-MMIL,IV,Oligodendrocytes,IV,6,0.9988121323422132,0.9999999975292888
test,Categorical EM-MMIL,IV,Undetermined,IV,8,0.9972497933347921,0.9999584288336657
test,Categorical EM-MMIL,IV,Fibroblasts,IV,6,0.9539957026766919,0.999996271182462
test,Categorical EM-MMIL,IV,Myeloid cells,IV,160,0.9346562841632433,0.999999999998
test,Categorical EM-MMIL,IV,NK cells,IV,34,0.9106381294814052,0.9999999563439725
test,Categorical EM-MMIL,IV,B lymphocytes,IV,195,0.8357525829689955,0.99995905455245
test,Categorical EM-MMIL,IV,T lymphocytes,IV,344,0.7912059236038166,0.9999945779880751
test,Categorical MCEM-MMIL,I,Undetermined,I,2,0.9354774360337408,0.9832864340573895
test,Categorical MCEM-MMIL,I,T lymphocytes,I,248,0.6876079152449416,0.9977389162313924
test,Categorical MCEM-MMIL,I,B lymphocytes,I,43,0.6502541352002175,0.9934280592208476
test,Categorical MCEM-MMIL,I,Myeloid cells,I,168,0.58064209842286,0.996829954135684
test,Categorical MCEM-MMIL,I,NK cells,I,81,0.3649835170684399,0.9483022053319884
test,Categorical MCEM-MMIL,I,MAST cells,I,35,0.335554773661912,0.8793537965476509
test,Categorical MCEM-MMIL,I,Fibroblasts,I,31,0.2878940231091723,0.8814850443442683
test,Categorical MCEM-MMIL,I,Endothelial cells,I,29,0.14438232093800843,0.5402094252265915
test,Categorical MCEM-MMIL,I,Epithelial cells,I,109,0.002117121166663129,0.0010792013822836443
test,Categorical MCEM-MMIL,I,Fibroblasts,II_III,31,0.5493709015495575,0.9913692906726262
test,Categorical MCEM-MMIL,I,MAST cells,II_III,35,0.18372660591580306,0.7641370477003973
test,Categorical MCEM-MMIL,I,Epithelial cells,II_III,109,0.1475627267327465,0.9148544642738756
test,Categorical MCEM-MMIL,I,Myeloid cells,II_III,168,0.10927703838250429,0.34246568328645066
test,Categorical MCEM-MMIL,I,NK cells,II_III,81,0.1042777253568535,0.4533377825528983
test,Categorical MCEM-MMIL,I,T lymphocytes,II_III,248,0.07573385849253021,0.27981923069734554
test,Categorical MCEM-MMIL,I,Endothelial cells,II_III,29,0.0323964038758201,0.02824138885443318
