split,model,n_patients,multiclass_logloss,accuracy,balanced_accuracy,macro_f1,aggregation
test,Categorical EM-MMIL,12,0.9554699118480793,0.6666666666666666,0.5333333333333333,0.7166666666666666,mean_prob
test,Categorical EM-MMIL,12,1.052806720229867,0.5,0.39999999999999997,0.47619047619047616,q99_prob
test,Categorical EM-MMIL,12,1.4156459884131933,0.5833333333333334,0.4666666666666666,0.6071428571428572,q90_prob
test,Categorical EM-MMIL,12,2.3972573087293907,0.6666666666666666,0.5333333333333333,0.7166666666666666,median_prob
test,Categorical MCEM-MMIL,12,0.939560668446918,0.6666666666666666,0.5333333333333333,0.7166666666666666,mean_prob
test,Categorical MCEM-MMIL,12,1.0362319854191424,0.5,0.39999999999999997,0.47619047619047616,q99_prob
test,Categorical MCEM-MMIL,12,1.352999119368622,0.5833333333333334,0.4666666666666666,0.6071428571428572,q90_prob
test,Categorical MCEM-MMIL,12,2.1241540518087425,0.6666666666666666,0.5333333333333333,0.7166666666666666,median_prob
test,Naive inherited-label classifier,12,0.7690930485889825,0.75,0.6,0.8181818181818181,median_prob
test,Naive inherited-label classifier,12,0.8178096263032422,0.75,0.6,0.8181818181818181,mean_prob
test,Naive inherited-label classifier,12,0.9120878417235604,0.75,0.6,0.8181818181818181,q90_prob
test,Naive inherited-label classifier,12,1.019607758588994,0.5833333333333334,0.4666666666666666,0.6190476190476191,q99_prob
train,Categorical EM-MMIL,32,0.481207037798272,0.90625,0.7999999999999999,0.8229761904761905,mean_prob
train,Categorical EM-MMIL,32,0.879497406408915,0.75,0.5833333333333334,0.8144963144963145,q99_prob
train,Categorical EM-MMIL,32,1.0064934214549468,0.8125,0.7166666666666667,0.7489177489177489,q90_prob
train,Categorical EM-MMIL,32,1.2497420037099298,0.90625,0.7999999999999999,0.8229761904761905,median_prob
train,Categorical MCEM-MMIL,32,0.49153389900237127,0.875,0.7722222222222221,0.7990620490620491,mean_prob
train,Categorical MCEM-MMIL,32,0.8959956108622463,0.75,0.5833333333333334,0.8144963144963145,q99_prob
train,Categorical MCEM-MMIL,32,0.9702162623704536,0.84375,0.7444444444444445,0.7744489099987821,q90_prob
train,Categorical MCEM-MMIL,32,1.1153693499153905,0.90625,0.7999999999999999,0.8229761904761905,median_prob
train,Naive inherited-label classifier,32,0.5394567800071215,0.875,0.7722222222222221,0.7990620490620491,median_prob
train,Naive inherited-label classifier,32,0.5950324959587977,0.875,0.7722222222222221,0.7990620490620491,mean_prob
train,Naive inherited-label classifier,32,0.7160360746483806,0.84375,0.7444444444444445,0.7744489099987821,q90_prob
train,Naive inherited-label classifier,32,0.8615411499246037,0.75,0.6222222222222222,0.6409356725146199,q99_prob
