split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,I,Undetermined,I,2,0.6644577496919521,0.6993794534528618
test,Categorical EM-MMIL,I,B lymphocytes,I,43,0.5490414853700916,0.7478940055156659
test,Categorical EM-MMIL,I,T lymphocytes,I,248,0.5485203009021041,0.7676932447213018
test,Categorical EM-MMIL,I,Myeloid cells,I,168,0.5411559454659329,0.7351291428367631
test,Categorical EM-MMIL,I,NK cells,I,81,0.41046520753169274,0.6088074491084177
test,Categorical EM-MMIL,I,MAST cells,I,35,0.3838852652649194,0.606769422551996
test,Categorical EM-MMIL,I,Fibroblasts,I,31,0.3321272828536103,0.5190297961235046
test,Categorical EM-MMIL,I,Endothelial cells,I,29,0.31782734460525713,0.5581154566584775
test,Categorical EM-MMIL,I,Epithelial cells,I,109,0.1795260783631278,0.45017355205604687
test,Categorical EM-MMIL,I,Fibroblasts,II_III,31,0.37125029021058037,0.5570714307704141
test,Categorical EM-MMIL,I,Epithelial cells,II_III,109,0.27095151676878076,0.3945487257924547
test,Categorical EM-MMIL,I,NK cells,II_III,81,0.2647317202777054,0.5217749243181232
test,Categorical EM-MMIL,I,Myeloid cells,II_III,168,0.25400071258956897,0.51237760666145
test,Categorical EM-MMIL,I,Endothelial cells,II_III,29,0.24429862286803794,0.41688998787106213
test,Categorical EM-MMIL,I,MAST cells,II_III,35,0.22140035035604858,0.44889142724244563
test,Categorical EM-MMIL,I,T lymphocytes,II_III,248,0.18193900692918671,0.4267053022117661
test,Categorical EM-MMIL,I,B lymphocytes,II_III,43,0.14429450651392994,0.28349761959719977
test,Categorical EM-MMIL,I,Undetermined,II_III,2,0.03697071212931255,0.047404604978522266
test,Categorical EM-MMIL,I,Epithelial cells,IV,109,0.5495224048680915,0.7488286916298941
test,Categorical EM-MMIL,I,Endothelial cells,IV,29,0.43787403252670487,0.7304930165884319
test,Categorical EM-MMIL,I,MAST cells,IV,35,0.3947143843790319,0.7179061113057398
test,Categorical EM-MMIL,I,NK cells,IV,81,0.32480307219060167,0.5577696048881055
test,Categorical EM-MMIL,I,B lymphocytes,IV,43,0.3066640081159784,0.4860331516495535
