split,model,n_patients,multiclass_logloss,accuracy,balanced_accuracy,macro_f1,aggregation
test,Categorical EM-MMIL,12,0.9052901338421298,0.75,0.6,0.8181818181818181,median_prob
test,Categorical EM-MMIL,12,0.9245720402153056,0.75,0.6,0.8181818181818181,mean_prob
test,Categorical EM-MMIL,12,0.9611540369574595,0.75,0.6,0.8181818181818181,q90_prob
test,Categorical EM-MMIL,12,1.0740531942272018,0.6666666666666666,0.5333333333333333,0.7166666666666666,q99_prob
test,Categorical MCEM-MMIL,12,0.8926839362473918,0.75,0.6,0.8636363636363635,median_prob
test,Categorical MCEM-MMIL,12,0.9199490785101138,0.75,0.6,0.8181818181818181,mean_prob
test,Categorical MCEM-MMIL,12,0.9526847178890643,0.75,0.6,0.8181818181818181,q90_prob
test,Categorical MCEM-MMIL,12,1.0679099369138194,0.6666666666666666,0.5333333333333333,0.7166666666666666,q99_prob
test,Naive inherited-label classifier,12,0.8164120096374443,0.8333333333333334,0.6666666666666666,0.9166666666666666,median_prob
test,Naive inherited-label classifier,12,0.853920159304189,0.75,0.6,0.8181818181818181,mean_prob
test,Naive inherited-label classifier,12,0.906890314061431,0.75,0.6,0.8181818181818181,q90_prob
test,Naive inherited-label classifier,12,0.9999553330619971,0.6666666666666666,0.5333333333333333,0.7166666666666666,q99_prob
train,Categorical EM-MMIL,32,0.6087266479260234,0.84375,0.7055555555555556,0.7107843137254902,median_prob
train,Categorical EM-MMIL,32,0.6214880511185309,0.84375,0.7055555555555556,0.7107843137254902,mean_prob
train,Categorical EM-MMIL,32,0.6907207450643029,0.84375,0.7055555555555556,0.7107843137254902,q90_prob
train,Categorical EM-MMIL,32,0.844764668480299,0.78125,0.6111111111111112,0.85995085995086,q99_prob
train,Categorical MCEM-MMIL,32,0.6017668705010493,0.84375,0.7055555555555556,0.7107843137254902,median_prob
train,Categorical MCEM-MMIL,32,0.6141377818098883,0.84375,0.7055555555555556,0.7107843137254902,mean_prob
train,Categorical MCEM-MMIL,32,0.6805497475194824,0.84375,0.7055555555555556,0.7107843137254902,q90_prob
train,Categorical MCEM-MMIL,32,0.8352884518070114,0.78125,0.6111111111111112,0.85995085995086,q99_prob
train,Naive inherited-label classifier,32,0.5086268221390349,0.875,0.7722222222222221,0.7990620490620491,median_prob
train,Naive inherited-label classifier,32,0.5494825834731621,0.875,0.7722222222222221,0.7990620490620491,mean_prob
train,Naive inherited-label classifier,32,0.6353294584904238,0.84375,0.7055555555555556,0.7107843137254902,q90_prob
train,Naive inherited-label classifier,32,0.7968901788001969,0.78125,0.6111111111111112,0.85995085995086,q99_prob
