experiment_id,task_type,categorical_scheme,feature_method,n_components,model_name,backend,seed,experiment_dir,resume_match_type,loaded_summary
EXP037_categorical_three_stage_PCAk10_glmnet_ridge_seed2026,categorical,three_stage,PCA,10,glmnet_ridge,glmnet,2026,Output\categorical\experiments\EXP037_categorical_three_stage_PCAk10_glmnet_ridge_seed2026,exact,True
EXP038_categorical_three_stage_PCAk10_glmnet_elasticnet_seed2026,categorical,three_stage,PCA,10,glmnet_elasticnet,glmnet,2026,Output\categorical\experiments\EXP038_categorical_three_stage_PCAk10_glmnet_elasticnet_seed2026,exact,True
EXP039_categorical_three_stage_PCAk10_glmnet_lasso_seed2026,categorical,three_stage,PCA,10,glmnet_lasso,glmnet,2026,Output\categorical\experiments\EXP039_categorical_three_stage_PCAk10_glmnet_lasso_seed2026,exact,True
EXP040_categorical_three_stage_PCAk10_xgboost_seed2026,categorical,three_stage,PCA,10,xgboost,xgboost,2026,Output\categorical\experiments\EXP040_categorical_three_stage_PCAk10_xgboost_seed2026,exact,True
EXP041_categorical_three_stage_PCAk20_glmnet_ridge_seed2026,categorical,three_stage,PCA,20,glmnet_ridge,glmnet,2026,Output\categorical\experiments\EXP041_categorical_three_stage_PCAk20_glmnet_ridge_seed2026,exact,True
EXP042_categorical_three_stage_PCAk20_glmnet_elasticnet_seed2026,categorical,three_stage,PCA,20,glmnet_elasticnet,glmnet,2026,Output\categorical\experiments\EXP042_categorical_three_stage_PCAk20_glmnet_elasticnet_seed2026,exact,True
EXP043_categorical_three_stage_PCAk20_glmnet_lasso_seed2026,categorical,three_stage,PCA,20,glmnet_lasso,glmnet,2026,Output\categorical\experiments\EXP043_categorical_three_stage_PCAk20_glmnet_lasso_seed2026,exact,True
EXP044_categorical_three_stage_PCAk20_xgboost_seed2026,categorical,three_stage,PCA,20,xgboost,xgboost,2026,Output\categorical\experiments\EXP044_categorical_three_stage_PCAk20_xgboost_seed2026,exact,True
EXP045_categorical_three_stage_PCAk50_glmnet_ridge_seed2026,categorical,three_stage,PCA,50,glmnet_ridge,glmnet,2026,Output\categorical\experiments\EXP045_categorical_three_stage_PCAk50_glmnet_ridge_seed2026,exact,True
EXP046_categorical_three_stage_PCAk50_glmnet_elasticnet_seed2026,categorical,three_stage,PCA,50,glmnet_elasticnet,glmnet,2026,Output\categorical\experiments\EXP046_categorical_three_stage_PCAk50_glmnet_elasticnet_seed2026,exact,True
EXP047_categorical_three_stage_PCAk50_glmnet_lasso_seed2026,categorical,three_stage,PCA,50,glmnet_lasso,glmnet,2026,Output\categorical\experiments\EXP047_categorical_three_stage_PCAk50_glmnet_lasso_seed2026,exact,True
EXP048_categorical_three_stage_PCAk50_xgboost_seed2026,categorical,three_stage,PCA,50,xgboost,xgboost,2026,Output\categorical\experiments\EXP048_categorical_three_stage_PCAk50_xgboost_seed2026,exact,True
EXP049_categorical_three_stage_ICAk10_glmnet_ridge_seed2026,categorical,three_stage,ICA,10,glmnet_ridge,glmnet,2026,Output\categorical\experiments\EXP049_categorical_three_stage_ICAk10_glmnet_ridge_seed2026,exact,True
EXP050_categorical_three_stage_ICAk10_glmnet_elasticnet_seed2026,categorical,three_stage,ICA,10,glmnet_elasticnet,glmnet,2026,Output\categorical\experiments\EXP050_categorical_three_stage_ICAk10_glmnet_elasticnet_seed2026,exact,True
EXP051_categorical_three_stage_ICAk10_glmnet_lasso_seed2026,categorical,three_stage,ICA,10,glmnet_lasso,glmnet,2026,Output\categorical\experiments\EXP051_categorical_three_stage_ICAk10_glmnet_lasso_seed2026,exact,True
EXP052_categorical_three_stage_ICAk10_xgboost_seed2026,categorical,three_stage,ICA,10,xgboost,xgboost,2026,Output\categorical\experiments\EXP052_categorical_three_stage_ICAk10_xgboost_seed2026,exact,True
EXP053_categorical_three_stage_ICAk20_glmnet_ridge_seed2026,categorical,three_stage,ICA,20,glmnet_ridge,glmnet,2026,Output\categorical\experiments\EXP053_categorical_three_stage_ICAk20_glmnet_ridge_seed2026,exact,True
EXP054_categorical_three_stage_ICAk20_glmnet_elasticnet_seed2026,categorical,three_stage,ICA,20,glmnet_elasticnet,glmnet,2026,Output\categorical\experiments\EXP054_categorical_three_stage_ICAk20_glmnet_elasticnet_seed2026,exact,True
