rank,experiment_id,feature_method,n_components,model_backend,glmnet_alpha,model_short,aggregation,primary_metric,auroc
1,EXP001_binary_PCAk10_glmnet_ridge_seed2026,PCA,10,glmnet,0.0,EM-MMIL,q99_prob,1.0,1.0
2,EXP001_binary_PCAk10_glmnet_ridge_seed2026,PCA,10,glmnet,0.0,MCEM-MMIL,prop_gt_0.5,1.0,1.0
3,EXP004_binary_PCAk10_xgboost_seed2026,PCA,10,xgboost,,Naive,q90_prob,1.0,1.0
4,EXP009_binary_PCAk50_glmnet_ridge_seed2026,PCA,50,glmnet,0.0,MCEM-MMIL,mean_prob,1.0,1.0
5,EXP008_binary_PCAk20_xgboost_seed2026,PCA,20,xgboost,,Naive,mean_prob,1.0,1.0
6,EXP008_binary_PCAk20_xgboost_seed2026,PCA,20,xgboost,,EM-MMIL,prop_gt_0.5,1.0,1.0
7,EXP008_binary_PCAk20_xgboost_seed2026,PCA,20,xgboost,,MCEM-MMIL,prop_gt_0.5,1.0,1.0
8,EXP007_binary_PCAk20_glmnet_lasso_seed2026,PCA,20,glmnet,1.0,Naive,mean_prob,1.0,1.0
9,EXP006_binary_PCAk20_glmnet_elasticnet_seed2026,PCA,20,glmnet,0.5,Naive,mean_prob,1.0,1.0
10,EXP005_binary_PCAk20_glmnet_ridge_seed2026,PCA,20,glmnet,0.0,MCEM-MMIL,mean_prob,1.0,1.0
