iter,delta,mean_q_advanced,mean_sampled_y_advanced
1,0.04689192469767611,0.3000000000000001,0.2987259419896991
2,0.04099603050861702,0.2999360435492396,0.297316345893196
3,0.03410275992452868,0.29955461655028004,0.29723502304147464
4,0.02657409636066414,0.29913066593704035,0.2995933857413933
5,0.020449910797894336,0.29856961111539626,0.29648956356736245
6,0.01542151075968722,0.29856797709132066,0.3002846299810247
7,0.013353623576404728,0.2981471991615007,0.29829222011385204
8,0.010187470099431887,0.29751993772788166,0.29615071835185686
9,0.007514314115805957,0.29685504852251365,0.2952019517484413
10,0.005564600131598641,0.29676725209362337,0.29695039306045
11,0.005357584039276269,0.29662738425561486,0.29779072919490374
12,0.004221738002887988,0.29629619271457325,0.29709948495527244
13,0.0035015668687819433,0.2953762856369524,0.29475467606397393
14,0.0036382580699719927,0.294513302225139,0.29277582000542157
15,0.002811891941954737,0.29464514396061486,0.2939550013553809
16,0.0025790068941035455,0.2944611448057252,0.29425318514502574
17,0.0028933100588658125,0.29408080834351247,0.29373814041745727
18,0.002066659291310929,0.2939695657489429,0.29377880184331795
19,0.0015926848676938638,0.2942150172158451,0.29470046082949314
20,0.00226703707354519,0.2935716883367611,0.29356194090539445
21,0.00205795905525351,0.2928816368168012,0.2921658986175115
22,0.001824621384916116,0.29260131369888476,0.29179994578476554
23,0.0017897403665739758,0.292532483547712,0.29171862293304424
24,0.0016797281782714598,0.29267547422626433,0.2922607752778531
25,0.0009653916671992496,0.2929794353941753,0.29327731092436976
26,0.001643329811379315,0.29325326806018026,0.2939550013553809
27,0.001544316182170046,0.29248476695046505,0.2923692057468149
28,0.001832748453070743,0.2923500158278745,0.29242342098129576
29,0.001680387998955482,0.29213544309792333,0.2919625914882082
30,0.0012148923998950506,0.29231446949286294,0.2921794524261317
