iter,delta,mean_q_I,mean_q_II_III,mean_q_IV
1,0.08042078518535659,0.3484879783908147,0.13840304692697522,0.5131089746822101
2,0.04376569409655245,0.3543766296471548,0.09932879826933515,0.5462945720835101
3,0.024855887060039026,0.36006659780498174,0.07648680562070861,0.5634465965743097
4,0.013707863917891642,0.362863805168591,0.06360255882594713,0.5735336360054619
5,0.008660735652243396,0.3656759934200295,0.05434840090719657,0.579975605672774
6,0.005736764678831755,0.367915154066448,0.04765354998218017,0.5844312959513718
7,0.004310195317768635,0.36910655218929816,0.043080984142941044,0.5878124636677609
8,0.00328322374841677,0.37087455244546563,0.03909015065876932,0.590035296895765
9,0.0023464107033748976,0.37258026372526093,0.0368002980090732,0.5906194382656658
10,0.0022938547990113004,0.3738038456238615,0.03457793906009126,0.5916182153160473
11,0.001740458771303462,0.3742976506154096,0.033001636845034384,0.592700712539556
12,0.0015183748239310415,0.37413253081227693,0.032226264040524505,0.5936412051471986
13,0.0011231049345914632,0.3739270143813357,0.031536453329906386,0.594536532288758
14,0.0015569645595178566,0.37488039946475665,0.030558865582633047,0.5945607349526103
15,0.0016518341656568958,0.3758287430953073,0.029300141458143192,0.5948711154465495
16,0.0015343627811457866,0.37593187489169316,0.028254049983349384,0.5958140751249574
17,0.0011753005681342402,0.3766320506019332,0.02770011671284977,0.5956678326852171
18,0.0015816667532225414,0.37712315443385963,0.027329970777378962,0.5955468747887613
19,0.0013413408929752327,0.37657469808396027,0.02710153719766365,0.596323764718376
20,0.0009882336032283404,0.3772226489443776,0.026906384450517372,0.5958709666051051
21,0.0014453808439888068,0.3775164464647268,0.02679674320271534,0.5956868103325577
22,0.0012728027886296015,0.37683096751106593,0.026686192885042266,0.5964828396038918
23,0.00135298722391422,0.3775863730309576,0.026065564318608972,0.5963480626504334
24,0.0016174777196665817,0.3779875040048701,0.02536472288395847,0.5966477731111713
25,0.0010634880191984191,0.3780245922231809,0.025418513134905146,0.596556894641914
26,0.0014312104408121063,0.37914864518964847,0.025087392804342395,0.5957639620060091
27,0.001364144532507838,0.3794282705692452,0.02500572604809414,0.5955660033826606
28,0.001217941504246018,0.3792923136181622,0.025091949093482176,0.5956157372883557
29,0.0014080193524587943,0.37934394763353324,0.024734952779350727,0.595921099587116
30,0.001622007464724655,0.378447982343131,0.02495688624481244,0.5965951314120566
31,0.0016268197840076937,0.37900129543796834,0.02463710186505037,0.5963616026969814
32,0.0015133442390811473,0.3784192199839038,0.02461705733357461,0.5969637226825216
33,0.001221769384240355,0.3793587799673141,0.024054892829978077,0.5965863272027079
34,0.0009550757230039013,0.3793783916204029,0.023862107850860403,0.5967595005287367
35,0.001608275381504526,0.37990192615344176,0.023988717127957415,0.5961093567186009
36,0.0011977555080407427,0.379370382237917,0.023995653530573115,0.5966339642315099
37,0.0014972185804403076,0.37991725047656105,0.02365931753481502,0.5964234319886239
38,0.0013457009549485174,0.3795621563737311,0.02401339954947346,0.5964244440767955
39,0.0013197507002477057,0.3791307371229269,0.02342819527998174,0.5974410675970914
40,0.0009864573054144835,0.3797157341289558,0.023269698222332377,0.5970145676487117
